row_type,rows_total,discovery_rows,control_rows,spatial_phase_bridge_candidate_count,spatial_phase_near_miss_count,phase_lock_gt_0p90_found,phase_lock_gt_0p50_found,best_phase_lock_case,best_phase_lock_topology,best_phase_lock,best_bridge_ratio,best_qpm_case,best_qpm_lock,lumped_lock,lumped_bridge_ratio,qpm_outperforms_lumped,phase_mismatch_predicts_failure,controls_dead,controls_mostly_clean,max_control_leakage_score,recommended_next_step,case_id,name,topology,role,source_mode,generated_mode,target_mode,k4,k8,k12,delta_k_448,delta_k_4812,qpm_period_448,qpm_period_4812,qpm_duty_cycle,grating_kind,coupling_sign_pattern,chain_length,cell_count,group_velocity_mismatch_8,group_velocity_mismatch_12,nonlinear_strength_448,nonlinear_strength_4812,coupling_strength,damping_loss,direct_8_drive_present,direct_12_drive_present,target_frequency_injection_present,execution_status,phase_lock_target,phase_lock_generated,bridge_ratio,target_spectral_purity,generated_envelope_cv,target_envelope_cv,max_phase_jump,near_slip_count,target_coherent_growth,target_coherent_power,target_total_power,generated_power,spatial_coherence_length,spatial_target_coherence,spatial_generated_coherence,accumulated_phase_mismatch,qpm_gain_factor,stored_energy_final,stored_energy_peak,drive_work,dissipated_loss,rhs_energy_work,energy_budget_error,energy_budget_clean,control_leakage_score,promotion_category
aggregate,51,47,4,17,6,True,True,s043,co_directional_phase_matched,0.9991278141488681,4.748881251878379,s005,0.744985690703558,0.4366746460481607,783058.6433862585,True,True,True,True,0.0647121085184914,"SPICE distributed ladder export, then physical waveguide model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,direct_4plus8_ceiling_reference,direct_4plus8_ceiling_reference,ceiling_reference,ceiling_reference,4.0,8.0,12.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.5,none,uniform,10.0,24,0.0,0.0,0.055,0.075,0.16,0.055,True,False,False,simulated,0.9272036322322509,0.9210685954965571,,0.8808887797871627,0.1361011501017716,0.0418766393750881,0.007712105474195319,0.0,16.167582938604504,6.872175327917539e-09,7.801410899543947e-09,1.6332240284239376e-08,9.277519865817387,0.9277519865817387,0.9224672407855028,0.0,1.0,6.774441083334416,16.793369008899177,152.0792276989248,144.66196145514215,6.77444108319772,8.9884719912563e-13,True,,
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s001,lumped_equivalent_baseline,lumped_equivalent,discovery,4.0,8.0,12.0,1.0,2.0,3.0,0.55,0.7,0.0,0.0,0.5,none,uniform,2.0,8,0.04,-0.06,0.06,0.075,0.16,0.045,False,False,False,simulated,0.4366746460481607,0.8164877612359104,783058.6433862585,0.9837642570150735,0.13541021402018155,0.059665329288521626,0.022902467707027974,0.0,22362.943010100178,0.005381316289391624,0.005470127879741792,0.03448873061173158,1.1486020118165523,0.5743010059082762,0.9224357817055717,1.7804493814764855,0.9170974702326243,3.854967112246362,7.706653774667275,45.15806179805439,50.40447480472128,3.85496711217663,1.3834441521161311e-12,True,0.0647121085184914,reject_due_to_phase_mismatch
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s002,codirectional_phase_matched,co_directional_phase_matched,discovery,4.0,8.0,12.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.5,none,uniform,24.0,64,0.0,0.0,0.085,0.115,0.16,0.045,False,False,False,simulated,0.9989373691137109,0.9987830864862007,2.3073148353118826,0.9971974587538963,0.048270513777306116,0.04288477884926025,0.0006176102827409446,0.0,38.825393455753314,1.585627208496844e-08,1.5900834830428198e-08,1.3083033842359035e-08,23.975123698780514,0.9989634874491882,0.9987903728508472,0.0,1.0,22.57077155088809,46.05050416528823,249.3962538461707,327.3637752436398,22.570771550328523,1.7093113459158328e-12,True,0.0647121085184914,spatial_phase_bridge_candidate
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s003,phase_mismatched_positive,phase_mismatched,discovery,4.0,8.0,12.0,1.0,2.0,3.0,1.8,2.2,0.0,0.0,0.5,none,uniform,24.0,64,0.18,-0.22,0.085,0.115,0.16,0.045,False,False,False,simulated,0.02610824313202293,0.03335478782011368,0.00032582478459638293,0.3398852567227207,0.13315702577645816,0.27881143423242366,0.07882362832124379,0.0,3.5598486016449513,2.2391250459273096e-12,6.587885180774387e-12,8.415221531560667e-11,2.9313050563302676,0.12213771068042781,0.17761013596738717,68.2208179370491,0.009251122365129667,14.93322830513399,37.22818471713122,283.90301308611055,255.96923981081383,14.933228291070915,4.953478965985173e-11,True,0.0647121085184914,reject_due_to_phase_mismatch
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s004,phase_mismatched_negative,phase_mismatched,discovery,4.0,8.0,12.0,1.0,2.0,3.0,-1.8,-2.2,0.0,0.0,0.5,none,uniform,24.0,64,-0.18,0.22,0.085,0.115,0.16,0.045,False,False,False,simulated,0.060735065561423815,0.048258573717286125,0.0004394929872064312,0.708422916099261,0.07864717053353784,0.1355174882549278,0.0710196621967123,0.0,3.1544410919054306,3.0202728634728153e-12,4.2633754426002056e-12,7.853101775735986e-11,6.495354521830963,0.2706397717429568,0.254624386468154,68.2208179370491,0.009251122365129667,14.422624254118736,36.157089749375615,300.2508757160508,247.6957090040791,14.422624247509356,2.2012857396123016e-11,True,0.0647121085184914,reject_due_to_phase_mismatch
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s005,qpm_grating_matched,quasi_phase_matched_grating,discovery,4.0,8.0,12.0,1.0,2.0,3.0,1.2,1.2,5.235987755982989,5.235987755982989,0.5,square,uniform,24.0,64,0.0,0.0,0.22,0.3,0.2,0.038,False,False,False,simulated,0.744985690703558,0.8429434202657368,9.413270581537747,0.9709688739765077,0.058253631461197344,0.08220731604125533,0.003993607197842808,0.0,272.8586839115986,6.46896458454557e-08,6.66238100718158e-08,3.271963756114593e-08,17.88737944278147,0.7453074767825613,0.8430981231218222,40.729350596345135,0.625681264466397,41.515143194608854,86.943265198194,207.1143868139671,529.5282792759765,41.51514318888229,1.0814459887335177e-11,True,0.0647121085184914,spatial_phase_near_miss
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s006,backward_wave_target,backward_wave_target,discovery,4.0,8.0,12.0,1.0,2.0,-3.0,0.0,-0.2,0.0,0.0,0.5,none,uniform,24.0,64,0.0,0.0,0.085,0.115,0.14,0.045,False,False,False,simulated,0.9759583128599902,0.998545722263208,1.9424365072562533,0.9965401398865744,0.04892284929509484,0.04055624442748388,0.001979601364886785,0.0,35.173814763161246,1.3348764241212742e-08,1.3395109446100275e-08,1.286896404435343e-08,23.42439716676678,0.9760165486152825,0.9985515845725355,4.800000000000001,0.5151598149138009,22.635199654226362,46.09930601829193,249.40031323303072,327.90766238217367,22.635199653665822,1.7094448319432093e-12,True,0.0647121085184914,spatial_phase_bridge_candidate
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s007,alternating_coupling_sign,alternating_coupling_sign,discovery,4.0,8.0,12.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.5,none,alternating_section,24.0,64,0.0,0.0,0.1,0.13,0.16,0.045,False,False,False,simulated,0.9980799015152018,0.9797358777974394,2.5362688236397286,0.9984360923382771,0.09108916971874137,0.03864463861288337,0.0009085664129357203,0.0,26.865946703614465,1.7429684034783385e-08,1.7456985147606308e-08,6.33134316205647e-09,23.954664241812374,0.9981110100755155,0.9797705663856446,0.0,1.0,23.88800288865903,49.46603820434847,239.08034855952297,353.18013384835155,23.888002887907575,2.1276841885105203e-12,True,0.0647121085184914,spatial_phase_bridge_candidate
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s008,randomized_grating_control,randomized_grating_control,control,4.0,8.0,12.0,1.0,2.0,3.0,1.2,1.2,0.65,0.65,0.5,randomized,uniform,24.0,64,0.0,0.0,0.11,0.15,0.16,0.045,False,False,False,simulated,0.3443322565388153,0.6634236911038699,0.13580829649655307,0.9494629105782114,0.05157176889255058,0.21027963758331153,0.0337648578261418,0.0,12.143417201106663,9.33298424510122e-10,9.829751263709232e-10,6.4985493475610475e-09,8.344702595939957,0.34769594149749816,0.6640258507780026,40.729350596345135,0.22747309112769623,15.316969717642946,33.69799776437357,233.75575685596726,240.77670874688434,15.316969716966112,2.8110467656867965e-12,True,0.0647121085184914,control_dead
