row_type,case_id,name,probe_kind,role,time_s,v_in,v_q1,v_mid,v_q3,v_raw_pre_extraction,v_post_extraction,i_src,i_bias
spice_412_electrical_control_forensics_timeseries,f001,f001_best_lockin_hybrid_p033,best_lockin_hybrid,discovery,0.0,1.06261401e-08,1.06647022e-08,1.06734205e-08,1.06603835e-08,1.06468363e-08,0.0,1.41681868e-10,-1.83653999e-10
spice_412_electrical_control_forensics_timeseries,f001,f001_best_lockin_hybrid_p033,best_lockin_hybrid,discovery,3.0935083196625264e-09,1.0156325562957313,1.066468453400465e-08,1.06734103e-08,1.06603835e-08,1.06468363e-08,1.5045866287804725e-22,-0.016189181500741577,0.011638347033525768
spice_412_electrical_control_forensics_timeseries,f001,f001_best_lockin_hybrid_p033,best_lockin_hybrid,discovery,6.187016639325053e-09,1.185011348536549,1.0664711955662255e-08,1.0673410565834909e-08,1.06603835e-08,1.06468363e-08,-2.7482136922158073e-22,-0.017723068480926345,0.016975949187050282
spice_412_electrical_control_forensics_timeseries,f001,f001_best_lockin_hybrid_p033,best_lockin_hybrid,discovery,9.28052495898758e-09,0.3411547894876592,1.06646764e-08,1.0673412601312175e-08,1.06603835e-08,1.06468363e-08,-2.2946342843805918e-23,-0.00351736972355203,0.0073332874400322285
spice_412_electrical_control_forensics_timeseries,f001,f001_best_lockin_hybrid_p033,best_lockin_hybrid,discovery,1.2374033278650106e-08,-0.816209042800924,1.0664779966076771e-08,1.0673392195555517e-08,1.06603835e-08,1.06468363e-08,-2.8592030095471027e-22,0.0135406336151265,-0.00799719713005337
spice_412_electrical_control_forensics_timeseries,f001,f001_best_lockin_hybrid_p033,best_lockin_hybrid,discovery,1.5467541598312634e-08,-1.2945223134357213,1.1402628990484497e-08,1.0673411156243138e-08,1.06603835e-08,1.06468363e-08,-3.481373397154805e-22,0.018350099091525088,-0.01595871448897125
spice_412_electrical_control_forensics_timeseries,f001,f001_best_lockin_hybrid_p033,best_lockin_hybrid,discovery,1.856104991797516e-08,-0.6348983232448133,7.780386785929277e-07,1.0673384139526826e-08,1.0660382230387382e-08,1.06468363e-08,1.1065557707400178e-21,0.007256056527507064,-0.010330803218730292
spice_412_electrical_control_forensics_timeseries,f001,f001_best_lockin_hybrid_p033,best_lockin_hybrid,discovery,2.1654558237637686e-08,0.5749481331033737,0.00015050118417492538,1.0673431058504528e-08,1.0660376473758125e-08,1.06468363e-08,2.334011481553058e-22,-0.010207573290701247,0.004620948464751244
spice_412_electrical_control_forensics_timeseries,f001,f001_best_lockin_hybrid_p033,best_lockin_hybrid,discovery,2.474806655730021e-08,1.2416541508922445,0.007502090919345765,1.0673419525394748e-08,1.0660374321685371e-08,1.06468363e-08,-6.504108190014117e-22,-0.019319895931751624,0.01631043299274663
spice_412_electrical_control_forensics_timeseries,f001,f001_best_lockin_hybrid_p033,best_lockin_hybrid,discovery,2.784157487696274e-08,0.824386697634281,0.11015294046257404,1.06733847517885e-08,1.0660365899449692e-08,1.06468363e-08,4.770539678681724e-22,-0.011582933901158617,0.013448576562311642
