row_type,case_id,name,valid_spice_netlists_generated,run_requested,ngspice_available,execution_statuses,rows_total,discovery_rows,control_rows,ran_successfully_count,best_hybrid_pre_case,best_hybrid_pre_purity,best_hybrid_pre_target_power,best_hybrid_post_case,best_hybrid_post_purity,pure_varactor_pre_purity,pure_varactor_post_purity,pure_varactor_no_extraction_pre_purity,pure_magnetic_pre_purity,pure_magnetic_post_purity,hybrid_no_extraction_pre_purity,linear_pre_purity,linear_post_purity,hybrid_pre_materially_above_pure_varactor,pure_varactor_post_beats_hybrid,generated_path_dependency_score,phase_mismatch_kill_score,target_velocity_dependency_score,generated_suppression_kills_150mhz,phase_mismatch_kills_150mhz,target_velocity_detuning_kills_150mhz,extraction_dominates_apparent_purity,controls_dead_pre_extraction,controls_dead_overall,max_control_leakage_score,electrical_bridge_real_signal,electrical_filter_artifact_likely,acoustic_branch_only_clean_physical_proof_route,recommended_next_step,prior_case_id,probe_kind,family,role,forensics_role,netlist_file,csv_file,execution_status,convergence_failure_reason,ngspice_path,source_only_drive,direct_100mhz_drive_present,direct_150mhz_drive_present,target_frequency_injection_present,hidden_behavioral_target_source_present,generated_path_suppressed,target_velocity_detuned_probe,phase_mismatched_probe,extraction_removed_probe,cell_count,z0_target_ohm,total_length_m,source_frequency_hz,generated_frequency_hz,target_frequency_hz,source_amplitude_v,bias_v,nonlinear_fraction,magnetic_strength,extraction_topology,extraction_q,post_filter_strength,output_load_ohm,notes,pre_extraction_150mhz_purity,post_extraction_150mhz_purity,pre_extraction_target_growth,post_extraction_target_growth,extraction_gain_at_150mhz,source_rejection_at_50mhz,generated_rejection_at_100mhz,filter_selectivity_score,bridge_before_filter_score,bridge_after_filter_score,internal_100mhz_growth,internal_150mhz_growth,phase_lock_target_pre_filter,phase_lock_target_post_filter,phase_lock_generated,control_leakage_score,varactor_only_leakage_score,magnetic_only_leakage_score,component_stress_score,component_stress_class,behavioral_dependency_score,bridge_ratio_vs_direct_reference,source_fft_peak_pre_hz,generated_fft_peak_pre_hz,target_fft_peak_pre_hz,source_fft_power_pre,generated_fft_power_pre,target_fft_power_pre,source_fft_peak_post_hz,generated_fft_peak_post_hz,target_fft_peak_post_hz,source_fft_power_post,generated_fft_power_post,target_fft_power_post,generated_envelope_cv_pre,target_envelope_cv_pre,generated_envelope_cv_post,target_envelope_cv_post,max_phase_jump_pre,max_phase_jump_post,near_slip_count_pre,near_slip_count_post,source_band_envelope_along_line_json,generated_band_envelope_along_line_json,target_band_envelope_along_line_json,local_50plus50_to_100_growth_estimate,local_50plus100_to_150_growth_estimate,peak_voltage_v,varactor_peak_current_a,reverse_bias_margin_v,per_cell_inductance_h,per_cell_total_capacitance_f,varactor_cjo_f,promotion_category
aggregate,aggregate,aggregate,True,True,True,ran_successfully,12,4,7,12,f003,0.7033799199368376,263260.22454435955,f001,0.9960952980428012,0.22916248039696294,0.9483346645333814,0.04141319255977615,3.5651643266531134e-07,0.0005399687078804187,0.011490330370660084,1.928604744754719e-07,0.00026837763106620015,True,False,0.999999825071147,0.8860012804184718,0.8985029071185426,True,True,True,True,False,False,0.8172928723255333,False,True,True,pause this electrical topology behind the acoustic branch while testing a different electrical topology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spice_412_electrical_control_forensics,f001,f001_best_lockin_hybrid_p033,,True,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,p033,best_lockin_hybrid,hybrid_varactor_plus_magnetic_line,discovery,line_probe,f001_best_lockin_hybrid_p033.cir,f001_best_lockin_hybrid_p033_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,False,False,False,False,96,75.0,0.5,50000000.0,100000000.0,150000000.0,2.7,3.4,0.82,0.55,single_high_q,24.0,1.5,100.0,"Best prior p033 hybrid purity-lock-in row, re-instrumented before and after extraction.",0.5740462742923432,0.9960952980428012,1.0454598099909358,1.0528117952685943,0.7240138057861386,33.852330470499766,15.918698255939026,55.681793203716424,0.577985585877235,1.0054747698129023,0.36928343240526984,1.1233816419718827,0.9630808849104716,0.9587812787763348,0.9792199883553,0.0,0.0,0.0,0.8381143664977356,aggressive-but-testable,0.195,1.0608952235737868e-05,50897162.81843989,99370651.21695408,150267814.03539398,84907.70195863923,13365.956545780786,153922.62247320183,50897162.81843989,99370651.21695408,150267814.03539398,34.97148222320291,342.08199731799266,111442.10369340588,0.045083691362087994,0.022406850331187275,0.02809236713769062,0.024414786438651293,0.1809734488420569,0.053812960825012635,0,0,"{""mid"": 0.582002732483061, ""q1"": 1.0184015592582063, ""q3"": 1.4389593502320792, ""raw"": 0.4314363082850503}","{""mid"": 0.4312492529186593, ""q1"": 0.3227476286200463, ""q3"": 0.15135355880121434, ""raw"": 0.1589843775275502}","{""mid"": 0.6071768250233482, ""q1"": 0.3244809843794718, ""q3"": 0.633700349180652, ""raw"": 0.4926517919088412}",0.8541242818390714,7.182389031558343,2.4221505191784556,0.00032231871293392743,0.9778494808215443,7.659313725490196e-08,1.3616557734204793e-11,4.627171228180489e-11,electrical_filter_artifact_likely
spice_412_electrical_control_forensics,f002,f002_previous_hybrid_near_miss_h024,,True,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,h024,previous_hybrid_near_miss,hybrid_varactor_plus_magnetic_line,discovery,line_probe,f002_previous_hybrid_near_miss_h024.cir,f002_previous_hybrid_near_miss_h024_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,False,False,False,False,96,75.0,0.5,50000000.0,100000000.0,150000000.0,2.6,3.1,0.82,0.65,single_high_q,18.0,0.0,150.0,Best previous h024 hybrid near-miss baseline.,0.7118770308981421,0.950086543775223,1.0409267202336325,1.0217863097016304,0.8489731559279167,12.389219178809137,4.325294954493881,3.97585380636536,0.7334198711340453,0.9638527252236293,0.25359633025688616,3.148952385351844,0.9897546144164642,0.992858670855487,0.9975635589389539,0.0,0.0,0.0,0.8161723291206604,aggressive-but-testable,0.19,1.8484010916153074e-05,50891990.10596142,99360552.11163896,150252542.21760038,61632.661222220915,13066.235534144043,206958.62529685663,50891990.10596142,99360552.11163896,150252542.21760038,3555.4043755238413,4826.374160014121,175702.31726477554,0.04590098615383549,0.0680981807772925,0.040644688422006414,0.04045528154377006,0.1590768101226896,0.05942748365002726,0,0,"{""mid"": 0.5975282914809851, ""q1"": 0.7439523401357133, ""q3"": 1.3295876303635141, ""raw"": 0.39390375573616476}","{""mid"": 0.6422341956222508, ""q1"": 0.4499698411882665, ""q3"": 0.1923947387729113, ""raw"": 0.17055057203597185}","{""mid"": 0.5299466188400019, ""q1"": 0.1709245535063808, ""q3"": 0.611043091964099, ""raw"": 0.5943843106284824}",1.0991904260843801,8.847570566961958,2.15061408723294,0.00041371447842102516,0.9493859127670601,7.689468503937008e-08,1.3670166229221346e-11,4.9268535972327903e-11,electrical_filter_artifact_likely
spice_412_electrical_control_forensics,f003,f003_growth_preserving_hybrid_near_miss_h025,,True,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,h025,growth_preserving_hybrid_near_miss,hybrid_varactor_plus_magnetic_line,discovery,line_probe,f003_growth_preserving_hybrid_near_miss_h025.cir,f003_growth_preserving_hybrid_near_miss_h025_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,False,False,False,False,96,75.0,0.5,50000000.0,100000000.0,150000000.0,2.7,3.4,0.82,0.55,single_high_q,18.0,0.0,150.0,Best previous h025 growth-preserving hybrid near-miss baseline.,0.7033799199368376,0.9538462699314717,1.0249345586502452,1.037240802655439,0.8478588570759596,12.373388759377013,4.339800693586012,3.980151186927684,0.6832252994164569,0.936979468656522,0.7545703294396988,1.5297688009342105,0.947715179658168,0.9470482291254974,0.9720354475532454,0.0,0.0,0.0,0.7892401478005324,aggressive-but-testable,0.19,2.1355432799539552e-05,50884963.37785797,99346833.26153222,150231796.63939017,82025.86380110834,12952.83298185617,263260.22454435955,50884963.37785797,99346833.26153222,150231796.63939017,4749.1068036359375,4768.531943809848,223207.5130957412,0.04580905226867006,0.02265794420545711,0.044989461272553495,0.03375056437936387,0.1349007083251288,0.12057826553849438,0,0,"{""mid"": 0.5979739759725737, ""q1"": 0.9279839239888202, ""q3"": 1.4426619385562294, ""raw"": 0.4266761972829472}","{""mid"": 0.5248055610871825, ""q1"": 0.19254408324657735, ""q3"": 0.1632233102025327, ""raw"": 0.1626130548721035}","{""mid"": 0.5823703920394036, ""q1"": 0.31466202220359496, ""q3"": 0.6256640852872737, ""raw"": 0.6460570423981142}",0.8932202842658652,9.31144410200237,2.2809040271435386,0.0003553478904047334,1.1190959728564613,7.689468503937008e-08,1.3670166229221346e-11,4.645388437740254e-11,electrical_filter_artifact_likely
spice_412_electrical_control_forensics,f004,f004_tuned_pure_varactor_extraction_pure_varactor_tuned,,True,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,pure_varactor_tuned,tuned_pure_varactor_extraction,pure_varactor_tuned_extraction_forensics,control,line_probe,f004_tuned_pure_varactor_extraction_pure_varactor_tuned.cir,f004_tuned_pure_varactor_extraction_pure_varactor_tuned_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,False,False,False,False,96,75.0,0.5,50000000.0,100000000.0,150000000.0,2.7,3.4,0.82,0.0,single_high_q,24.0,1.5,100.0,Pure-varactor line using the same tuned 150 MHz extraction as p033.,0.22916248039696294,0.9483346645333814,1.222894472359788,1.1379164155843036,0.7112620095446797,33.38251514644989,15.916273074359054,54.57234334681356,0.2513805849147266,0.9846284508501196,1.5383644300481487,0.820274505478847,0.8970140307956288,0.9124317568360476,0.9580027482181953,0.8172928723255333,0.8172928723255333,0.0,1.0359654340207876,aggressive-but-testable,0.085,2.343690203143429e-06,50895763.921942316,99367920.03807786,150263683.96002018,44052.07205154016,36465.04746846269,27008.314823361052,50895763.921942316,99367920.03807786,150263683.96002018,20.216912257742834,933.7905527283525,19209.98827567914,0.04950860127331756,0.15100384293396157,0.03763131554674203,0.053843568415075704,0.27241740846674456,0.08912282437753438,0,0,"{""mid"": 1.2842807149578193, ""q1"": 1.3983851204482165, ""q3"": 0.8188908355071849, ""raw"": 0.35325174963978334}","{""mid"": 0.7421110752261116, ""q1"": 0.1407962483135081, ""q3"": 0.9760480367102675, ""raw"": 0.29583228639757175}","{""mid"": 0.803311562967451, ""q1"": 0.17121884458541517, ""q3"": 0.6154707736912536, ""raw"": 0.2311850323264659}",2.3707017862520807,2.2122276766924265,2.9939401043200755,0.0005818824352768019,0.4060598956799244,7.659313725490196e-08,1.3616557734204793e-11,4.627171228180489e-11,reject_due_to_control_leakage
spice_412_electrical_control_forensics,f005,f005_pure_varactor_no_extraction_pure_varactor_no_extraction,,True,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,pure_varactor_no_extraction,pure_varactor_no_extraction,pure_varactor_no_extraction_forensics,control,line_probe,f005_pure_varactor_no_extraction_pure_varactor_no_extraction.cir,f005_pure_varactor_no_extraction_pure_varactor_no_extraction_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,False,False,False,False,96,75.0,0.5,50000000.0,100000000.0,150000000.0,2.7,3.4,0.82,0.0,none,22.0,0.0,150.0,Pure-varactor line with target extraction removed.,0.04141319255977615,0.04141319255977615,1.135300426365374,1.135300426365374,1.0,0.0,0.0,1.0,0.04609318361670793,0.04609318361670793,1.6653726290333508,1.1596649345012446,0.9803636336327667,0.9803636336327667,0.9985815232089286,0.06765021318268705,0.06765021318268705,0.0,0.9173899572487242,aggressive-but-testable,0.08,4.5270770663769846e-06,50894478.65566816,99365410.70868546,150259889.36435363,229944.87317903663,411717.16314924933,30577.368838995237,50894478.65566816,99365410.70868546,150259889.36435363,229944.87317903663,411717.16314924933,30577.368838995237,0.0013268876319297912,0.3065193020133231,0.0013268876319297912,0.3065193020133231,0.5963988405642549,0.5963988405642549,0,0,"{""mid"": 0.9359461106668042, ""q1"": 1.0511440012872089, ""q3"": 0.9139832141851163, ""raw"": 0.817681109532314}","{""mid"": 0.33594083844654665, ""q1"": 0.460935989205012, ""q3"": 0.8813995313321993, ""raw"": 1.0334797756498209}","{""mid"": 0.5426392274656977, ""q1"": 0.19398586434729392, ""q3"": 0.614373946574004, ""raw"": 0.2726806027036632}",1.5457314847557153,0.32267721386453657,2.6512569764488125,0.00039662427812279936,0.7487430235511874,7.689468503937008e-08,1.3670166229221346e-11,4.645388437740254e-11,control_dead
spice_412_electrical_control_forensics,f006,f006_pure_magnetic_same_extraction_pure_magnetic_same_extraction,,True,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,pure_magnetic_same_extraction,pure_magnetic_same_extraction,pure_magnetic_same_extraction_forensics,control,line_probe,f006_pure_magnetic_same_extraction_pure_magnetic_same_extraction.cir,f006_pure_magnetic_same_extraction_pure_magnetic_same_extraction_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,False,False,False,False,96,75.0,0.5,50000000.0,100000000.0,150000000.0,2.6,3.1,0.82,0.85,single_high_q,24.0,1.5,100.0,Pure magnetic-core nonlinearity proxy with fixed capacitors and the same extraction network.,3.5651643266531134e-07,0.0005399687078804187,0.9111667120221949,0.8920473001438782,0.7284954757060813,33.59795310387143,20.02782242309504,140.46179602532104,4.874891104309549e-08,3.845993975589405e-05,0.24955205360321872,0.40593158566382187,0.1500678019414025,0.07984580872779444,0.8033470539734352,0.0,0.0,0.0,0.7473448005222333,plausible,0.185,5.406070186956505e-13,50891240.59671188,87242126.73722038,150250329.38076842,64709.98437313611,0.6424499003564157,0.017620731984073216,50891240.59671188,87242126.73722038,150250329.38076842,28.260249030914686,0.006383472970382725,0.012836623529026779,1.1525979893803913,0.37760128589772857,1.171350738419475,0.5990703443023051,2.8050163401017763,2.684985046267286,26,25,"{""mid"": 0.7976988943363104, ""q1"": 1.7164140640141787, ""q3"": 1.8852726217321767, ""raw"": 0.5431984145913653}","{""mid"": 0.015082649775278354, ""q1"": 0.029089798706062688, ""q3"": 0.020134202887332146, ""raw"": 0.01008456205357871}","{""mid"": 0.0056193695242228985, ""q1"": 0.014015313735964431, ""q3"": 0.0155531477117336, ""raw"": 0.002918479489456558}",0.03417748136952082,0.5327716526368395,1.9692535493760845,0.0,1.1307464506239155,7.659313725490196e-08,1.3616557734204793e-11,0.0,control_dead
spice_412_electrical_control_forensics,f007,f007_hybrid_no_extraction_hybrid_no_extraction,,True,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,hybrid_no_extraction,hybrid_no_extraction,hybrid_no_extraction_forensics,discovery,line_probe,f007_hybrid_no_extraction_hybrid_no_extraction.cir,f007_hybrid_no_extraction_hybrid_no_extraction_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,False,False,False,True,96,75.0,0.5,50000000.0,100000000.0,150000000.0,1.8,3.4,0.55,0.3,none,22.0,0.0,150.0,Hybrid row with all target extraction and rejection filtering removed.,0.011490330370660084,0.011490330370660084,1.0691862752502297,1.0691862752502297,1.0,0.0,0.0,1.0,0.011956480341306829,0.011956480341306829,1.2068501553468398,1.7633915921765542,0.9732344269492302,0.9732344269492302,0.9998156423855746,0.0,0.0,0.0,0.43040973882674505,plausible,0.19,5.969601377646111e-07,50894029.04787241,99364532.90298899,150258561.9508614,297803.40502299275,24386.609725379218,4352.089804996264,50894029.04787241,99364532.90298899,150258561.9508614,297803.40502299275,24386.609725379218,4352.089804996264,0.001939359051896429,0.5900829105267932,0.001939359051896429,0.5900829105267932,0.7299480008770314,0.7299480008770314,0,0,"{""mid"": 1.0022260114226138, ""q1"": 0.7773500640887003, ""q3"": 0.7320341131588963, ""raw"": 0.9344866243605003}","{""mid"": 0.2486458886673087, ""q1"": 0.15074329783558102, ""q3"": 0.2618586212914861, ""raw"": 0.24840812891796257}","{""mid"": 0.0888840319528781, ""q1"": 0.04106381407287755, ""q3"": 0.132378914959606, ""raw"": 0.09901887033431385}",0.2844589643325299,0.4265589652108963,1.243884145209293,0.00013272384965260815,2.156115854790707,7.689468503937008e-08,1.3670166229221346e-11,2.0772062119976746e-11,electrical_filter_artifact_likely
spice_412_electrical_control_forensics,f008,f008_generated_path_suppressed_generated_path_suppressed,,True,True,,,,,,,,,,,,,,,,,,,,,0.999999825071147,0.0,0.0,,,,,,,,,,,,generated_path_suppressed,generated_path_suppressed,hybrid_generated_path_suppressed_forensics,control,line_probe,f008_generated_path_suppressed_generated_path_suppressed.cir,f008_generated_path_suppressed_generated_path_suppressed_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,True,False,False,False,96,75.0,0.5,50000000.0,100000000.0,150000000.0,2.7,12.0,0.12,0.22,single_high_q,24.0,1.5,100.0,Hybrid line with the 50+50 to 100 MHz pathway intentionally weakened before target extraction.,4.481158315467437e-07,0.000625566453494713,0.7464115535827771,0.8521293655427965,0.25705284028421316,33.59483389000716,15.917569758807735,19.745032897813758,5.703480617923005e-08,7.913977749120842e-05,0.761401000451334,0.6781448191662304,0.17051843160141977,0.14846218282137247,0.8401123646868185,0.0,0.0,0.0,0.7805967129802798,aggressive-but-testable,0.195,1.2341153292911264e-12,50891265.597143054,99359137.59442215,128439860.79278961,68797.92359869822,11.344301803342958,0.04605180911518141,50891265.597143054,99359137.59442215,128439860.79278961,30.067127686607098,0.2904161716071794,0.0118377483332838,0.3641413616354533,0.3705255117989531,0.2394873531201941,0.3270290478778313,2.7143588286886846,3.09532357520499,27,26,"{""mid"": 0.8186659604844205, ""q1"": 1.7732530086451048, ""q3"": 1.9518806862690368, ""raw"": 0.5601402965935972}","{""mid"": 0.01368787534940116, ""q1"": 0.01831361871965628, ""q3"": 0.03147889385644716, ""raw"": 0.006470212123298451}","{""mid"": 0.00449014492107257, ""q1"": 0.01381981235396979, ""q3"": 0.015098763351528375, ""raw"": 0.0018164280999249513}",0.020621719966470373,0.5011905522450226,2.050740833645036,1.2658887663287272e-05,9.949259166354963,7.659313725490196e-08,1.3616557734204793e-11,2.7900193059106323e-12,control_dead
spice_412_electrical_control_forensics,f009,f009_target_velocity_detuned_target_velocity_detuned,,True,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.8985029071185426,,,,,,,,,,,,target_velocity_detuned,target_velocity_detuned,detuned_150mhz_phase_velocity_line,control,line_probe,f009_target_velocity_detuned_target_velocity_detuned.cir,f009_target_velocity_detuned_target_velocity_detuned_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,False,True,False,False,96,75.0,0.5,50000000.0,100000000.0,150000000.0,2.7,3.4,0.82,0.55,single_high_q,18.0,0.0,150.0,Hybrid line with target phase velocity detuned while retaining extraction.,0.28388608709177454,0.34275145704205695,1.2746706006727275,1.3450916721414927,0.5851754062175257,11.908778758273996,2.281924203062432,1.7847933427575422,0.3528114898190746,0.44662229878996,0.3945135294341269,0.7146450284594789,0.974991079155511,0.9687444090358309,0.9774638826130405,0.3152972931128033,0.0,0.0,1.1479355265966502,aggressive-but-testable,0.19,2.176574280456291e-06,50883768.04254573,99344499.5116369,150228267.55418262,16570.975652013523,47439.91490957999,26720.14746257217,50883768.04254573,99344499.5116369,150228267.55418262,1067.7515323691741,28051.202353811583,15635.973145602858,0.0959880927424738,0.1595868149493292,0.09462336627452599,0.15722877346469075,0.23128723378127836,0.3731512866680984,0,0,"{""mid"": 0.9506293951091297, ""q1"": 0.878654713645247, ""q3"": 1.2070378770657075, ""raw"": 0.2953840094437427}","{""mid"": 0.6372593087577372, ""q1"": 0.6756054937627702, ""q3"": 1.1234544515182843, ""raw"": 0.3346942232511148}","{""mid"": 0.18663157851557458, ""q1"": 0.3055727950922226, ""q3"": 0.38246970968251476, ""raw"": 0.24593949421027025}",3.8359616288177842,2.4876717697330135,3.3175336718643185,0.00048358614172227095,0.08246632813568144,1.001602564102564e-07,1.7806267806267805e-11,6.050916221466792e-11,reject_due_to_control_leakage
