row_type,case_id,name,time_s,v_in,v_mid,v_out,i_src,i_bias,cleanup_topology
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,0.0,0.0,6.2629381e-09,6.28617876e-09,6.24407759e-09,8.35058413e-11,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,3.832752613240418e-09,3.832752613240418e-09,0.888157642322852,6.2861803665119656e-09,6.2440805894939124e-09,-0.0130487386481877,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,7.665505226480836e-09,7.665505226480836e-09,0.7624318037916769,6.286171758135927e-09,6.244071215698445e-09,-0.007683829259727907,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,1.1498257839721255e-08,1.1498257839721255e-08,-0.34810442001049535,6.286187634825264e-09,6.244082626065378e-09,0.007448376280030162,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,1.533101045296167e-08,1.533101045296167e-08,-1.0173436071104585,6.2862070283154865e-09,6.2440881930087575e-09,0.012945897046202923,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,1.916376306620209e-08,1.916376306620209e-08,-0.3787341238294707,6.298544975123822e-09,6.244080845876865e-09,0.0018721249885756996,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,2.299651567944251e-08,2.299651567944251e-08,0.7231324071947363,2.1961706723458242e-08,6.244090184649595e-09,-0.011905852261733553,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,2.682926829268293e-08,2.682926829268293e-08,0.9021924962944912,4.433374491582294e-06,6.244092935892717e-09,-0.010348370921667259,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,3.066202090592334e-08,3.066202090592334e-08,-0.08441997802392617,0.0003716508969507527,6.244090512364652e-09,0.004380397528396015,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,3.449477351916376e-08,3.449477351916376e-08,-0.9773162530662944,0.010873744961092394,6.244088995230696e-09,0.013292759093660641,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,3.832752613240418e-08,3.832752613240418e-08,-0.6096844728561843,0.11821563511884112,6.244089064022081e-09,0.005240392494509708,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,4.21602787456446e-08,4.21602787456446e-08,0.5214576632090573,0.4985737805445653,6.24409449e-09,-0.009779234855687111,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,4.599303135888502e-08,4.599303135888502e-08,0.9812119572148121,0.8429305131262124,6.244119639409305e-09,-0.012285655819212482,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,4.982578397212544e-08,4.982578397212544e-08,0.18169364823778839,-0.11086524836185871,6.250873127366979e-09,0.0009642909751683628,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,5.365853658536586e-08,5.365853658536586e-08,-0.8709138423213728,-1.1680555671462254,7.272094568030083e-09,0.012721095741011785,none
