row_type,valid_spice_netlists_generated,run_requested,ngspice_available,execution_statuses,rows_total,discovery_rows,control_rows,ran_successfully_count,candidate_count,near_miss_count,best_case,best_name,best_cleanup_topology,best_cell_count,best_impedance_ohm,best_phase_lock_target,best_bridge_ratio,best_purity,best_target_growth,best_generated_cv,best_max_phase_jump,best_component_stress_score,best_component_stress_class,best_behavioral_dependency_score,best_lock_case,best_lock_value,controls_dead,max_control_leakage_score,best_cleanup_purity,best_raw_purity,target_cleanup_helped_purity,purity_by_cell_count_json,realistic_candidate_found,recommended_next_step,case_id,name,role,netlist_file,csv_file,execution_status,convergence_failure_reason,ngspice_path,source_only_drive,direct_100mhz_drive_present,direct_150mhz_drive_present,target_frequency_injection_present,cell_count,z0_target_ohm,total_length_m,cell_length_m,per_cell_inductance_h,per_cell_total_capacitance_f,varactor_cjo_f,source_amplitude_v,bias_v,nonlinear_fraction,cjo_scale,varactor_rs_ohm,varactor_vj_v,varactor_m,cleanup_topology,output_load_ohm,extraction_q,source_rejection,generated_rejection,target_q_scale,generated_q_scale,notes,source_fft_peak_hz,generated_fft_peak_hz,target_fft_peak_hz,source_fft_power,generated_fft_power,target_fft_power,target_band_coherent_growth,target_coherent_power,phase_lock_target,phase_lock_generated,bridge_ratio_vs_direct_reference,spectral_purity_150mhz,generated_envelope_cv,target_envelope_cv,max_phase_jump,near_slip_count,control_leakage_score,estimated_line_impedance_ohm,phase_velocity_m_s,per_cell_fixed_capacitance_f,ladder_cutoff_hz,varactor_peak_voltage_v,varactor_peak_current_a,source_peak_current_a,reverse_bias_margin_v,dissipation_estimate_j,component_stress_score,component_stress_class,behavioral_dependency_score,bench_feasibility_score,promotion_category,phase_velocity_error_50,phase_velocity_error_100,phase_velocity_error_150,target_band_extraction_present
aggregate,True,True,True,ran_successfully,23,16,6,23,0,0,r013,refine_96c_100ohm_extraction_plus_rejection,extraction_plus_rejection,96,100.0,0.9962832721192616,18.50273150673982,0.11284289458518919,1.0752074581627575,0.07347455177966263,0.2522522221006212,1.3506579533005882,unrealistic,0.08,r006,0.9986550525783496,True,0.1375429237794662,0.11284289458518919,0.10720309990905755,True,"{""48"": 0.010083619536122253, ""64"": 0.05088563820928789, ""80"": 0.10720309990905755, ""96"": 0.11284289458518919}",False,acoustic parallel simulation plus deeper component/BOM sweep before PCB layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spice_varactor_nltl_refine,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r001,refine_48c_75ohm_none,discovery,refine_001_48c_75ohm_none.cir,refine_001_48c_75ohm_none_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,48,75.0,0.38197186342054884,0.007957747154594767,1.193662073189215e-07,2.1220659078919378e-11,4.3791406458532136e-11,2.0,4.0,0.82,1.0,0.85,0.75,0.5,none,75.0,8.0,False,False,1.0,1.0,Focused refinement around previous d015 varactor NLTL row.,50873638.89592328,99324723.55870736,150198362.45463064,197847.40746046288,8272.069068346405,2462.8501637446257,0.879424922716947,0.008489357360540744,0.9319739781317603,0.9993863687239278,0.7185654118892597,0.010083619536122253,0.00891385470771962,0.3561162271293291,1.3119775105309428,7.0,0.0,75.0,5000000.0,3.8197186342054905e-12,200000000.00000003,1.2437491624883814,0.00028164605474478746,1.048327669610649,2.756250837511619,2.304110119876853e-07,0.3658085772024651,plausible,0.08,0.6573472249084511,not_promoted,0.0,0.0,0.0,False
spice_varactor_nltl_refine,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r002,refine_64c_75ohm_none,discovery,refine_002_64c_75ohm_none.cir,refine_002_64c_75ohm_none_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,64,75.0,0.38197186342054884,0.005968310365946076,8.952465548919113e-08,1.5915494309189536e-11,3.991652294321716e-11,2.0,4.0,0.88,1.15,0.6,0.7,0.55,none,75.0,8.0,False,False,1.0,1.0,Focused refinement around previous d015 varactor NLTL row.,50892960.01843552,99362445.75027888,150255405.7687144,181985.12879691276,23298.109758595765,4718.482892654249,1.05981006281449,0.012223610944495934,0.9913685959960474,0.9999669956528117,1.0346441621049047,0.019271653128144908,0.014903384561624645,0.36185803380297776,1.0991973520476712,4.0,0.0,75.0,5000000.0,1.9098593171027436e-12,266666666.6666667,1.233890545451641,0.00024260862911999834,1.182879961416476,2.766109454548359,2.0610952391714014e-07,0.362908983956365,plausible,0.08,0.6771505563898221,not_promoted,0.0,0.0,0.0,False
spice_varactor_nltl_refine,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r003,refine_80c_75ohm_none,discovery,refine_003_80c_75ohm_none.cir,refine_003_80c_75ohm_none_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,80,75.0,0.38197186342054884,0.004774648292756861,6.886511960707011e-08,1.2242687930145796e-11,3.054522973090798e-11,2.3,3.5,0.9,1.25,0.45,0.65,0.55,none,75.0,8.0,False,False,1.0,1.0,Focused refinement around previous d015 varactor NLTL row.,50883948.13404598,99344851.11885168,150228799.25289765,259682.5144830074,35957.2282769264,41641.15600835252,1.0079273743037258,0.09997288610045904,0.9914118474111702,0.9999544058030482,8.462013675197507,0.10720309990905755,0.0036785104009280385,0.19238995018913146,0.3921463594034815,0.0,0.0,75.0,5200000.0,1.2242687930145798e-12,346666666.6666666,1.5323146575054458,0.00022318281630601233,1.5569397373410137,1.9676853424945542,2.5898726238395367e-07,0.5150637504219986,plausible,0.08,0.6648647023604648,not_promoted,0.04,0.0,0.0,False
spice_varactor_nltl_refine,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r004,refine_96c_75ohm_none,discovery,refine_004_96c_75ohm_none.cir,refine_004_96c_75ohm_none_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,96,75.0,0.38197186342054884,0.0039788735772973835,5.526213301801922e-08,9.824379203203416e-12,2.6279758393677915e-11,2.6,3.2,0.92,1.35,0.35,0.65,0.6,none,75.0,8.0,False,False,1.0,1.0,Focused refinement around previous d015 varactor NLTL row.,50895219.22220093,99366856.57667801,150262075.79887894,606023.219480084,119741.75980309829,83410.92305652153,0.933118976522,0.10091340072715367,0.9849204796512431,0.9999838568539187,8.541621736375374,0.08840744420166201,0.010160318855337101,0.12516397614630195,0.562004363282933,0.0,0.0,75.0,5400000.0,7.859503362562726e-13,432000000.00000006,2.0777273057490646,0.00021091030775157243,1.9307071071829527,1.1222726942509356,2.858268425173179e-07,0.7638703329959796,aggressive-but-testable,0.08,0.6213903032163187,not_promoted,0.08,0.0,0.0,False
spice_varactor_nltl_refine,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r005,refine_64c_50ohm_target_extraction,discovery,refine_005_64c_50ohm_target_extraction.cir,refine_005_64c_50ohm_target_extraction_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,64,50.0,0.38197186342054884,0.005968310365946076,5.851284672496152e-08,2.3405138689984612e-11,5.83952921326182e-11,2.3,3.5,0.9,1.25,0.45,0.65,0.55,target_extraction,100.0,10.0,False,False,1.0,1.0,Focused refinement around previous d015 varactor NLTL row.,50892583.421767704,99361710.4901179,150254293.9118856,291949.45134651934,27157.470185516795,19870.710889270187,0.8472626000205352,0.05894964113283535,0.9982116518380103,0.9993255498576197,4.989679590852062,0.04947983721896085,0.02764827514608153,0.21022843894417154,0.7677922371761736,0.0,0.0,49.99999999999999,5100000.0,2.340513868998461e-12,272000000.0,1.5657810231997389,0.000586209836901916,0.7425807329841593,1.9342189768002611,8.840132884446954e-08,0.5263129489747022,plausible,0.08,0.6386398423882707,not_promoted,0.02,0.0,0.0,True
spice_varactor_nltl_refine,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r006,refine_64c_75ohm_target_extraction,discovery,refine_006_64c_75ohm_target_extraction.cir,refine_006_64c_75ohm_target_extraction_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,64,75.0,0.38197186342054884,0.005968310365946076,8.776927008744228e-08,1.5603425793323072e-11,3.89301947550788e-11,2.3,3.5,0.9,1.25,0.45,0.65,0.55,target_extraction,150.0,12.0,False,False,1.0,1.0,Focused refinement around previous d015 varactor NLTL row.,50876498.66138649,99330306.910326,150206805.5717125,289993.4470165419,33311.37982513295,20694.53223486892,0.8258319846888666,0.05915958529202465,0.9986550525783496,0.9994016194321891,5.0074499125401095,0.05088563820928789,0.036295069688702074,0.21556403811651506,0.7769038225823695,0.0,0.0,75.0,5100000.000000001,1.5603425793323072e-12,272000000.0,1.593621273531091,0.0003942933654952119,0.883910724941206,1.906378726468909,1.2944233475628893e-07,0.5356710163129718,plausible,0.08,0.6354599086918837,not_promoted,0.02,0.0,0.0,True
spice_varactor_nltl_refine,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r007,refine_64c_100ohm_target_extraction,discovery,refine_007_64c_100ohm_target_extraction.cir,refine_007_64c_100ohm_target_extraction_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,64,100.0,0.38197186342054884,0.005968310365946076,1.1702569344992305e-07,1.1702569344992306e-11,2.91976460663091e-11,2.3,3.5,0.9,1.25,0.45,0.65,0.55,target_extraction,200.0,12.0,False,False,1.0,1.0,Focused refinement around previous d015 varactor NLTL row.,50882364.17090357,99341758.61938316,150224122.79028672,284541.887028604,37822.29372144484,20217.008610974888,0.8081708263267817,0.05608695502561587,0.9964116033364341,0.9993644744258661,4.747373002216147,0.04988292223620868,0.03571198774437652,0.24893304007381267,0.310540147944272,0.0,0.0,99.99999999999999,5100000.0,1.1702569344992304e-12,272000000.0,1.6092455817455023,0.0002942054262846175,0.9897684488364624,1.8907544182544977,1.641678423199398e-07,0.5409228846203369,plausible,0.08,0.6328431363520646,not_promoted,0.02,0.0,0.0,True
spice_varactor_nltl_refine,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r008,refine_80c_50ohm_weak_150_bandpass,discovery,refine_008_80c_50ohm_weak_150_bandpass.cir,refine_008_80c_50ohm_weak_150_bandpass_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,80,50.0,0.38197186342054884,0.004774648292756861,4.504385181846095e-08,1.801754072738438e-11,4.9349907595521594e-11,2.6,3.2,0.92,1.4,0.35,0.62,0.6,weak_150_bandpass,100.0,16.0,False,True,1.0,1.0,Focused refinement around previous d015 varactor NLTL row.,50891383.399205744,99359367.5889255,150250750.98813123,312235.5009497641,196881.9488113238,26494.16457897452,0.9678519701638261,0.04905005338206975,0.9589244962689608,0.9999365201987566,4.151747925644173,0.040426393014074455,0.022311229101234873,0.4622423714224305,0.687294055631259,0.0,0.0,50.0,5300000.0,1.4414032581907499e-12,353333333.3333333,2.0312900195858763,0.00045955440292678594,0.9680946837381649,1.1687099804141239,8.556711971734479e-08,0.7467978013183368,plausible,0.08,0.6199427824593822,not_promoted,0.06,0.0,-0.010000000000000009,True
spice_varactor_nltl_refine,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r009,refine_80c_75ohm_weak_150_bandpass,discovery,refine_009_80c_75ohm_weak_150_bandpass.cir,refine_009_80c_75ohm_weak_150_bandpass_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,80,75.0,0.38197186342054884,0.004774648292756861,6.756577772769143e-08,1.2011693818256254e-11,3.2899938397014396e-11,2.6,3.2,0.92,1.4,0.35,0.62,0.6,weak_150_bandpass,150.0,16.0,False,True,1.0,1.0,Focused refinement around previous d015 varactor NLTL row.,50892261.457542576,99361081.8932974,150253343.35083997,307993.41972241795,259038.17205550862,27919.75704125723,0.8441436835913719,0.045125360669292285,0.9372964633360674,0.9999754357753416,3.819549819718746,0.037841054274196734,0.021077160913883876,0.333316202773064,1.2373114517256478,5.0,0.0,75.0,5300000.0,9.609355054605e-13,353333333.3333333,2.0778908796221907,0.000296315169313469,1.1446391962338638,1.1221091203778095,1.1487795504532431e-07,0.7639304704493347,aggressive-but-testable,0.08,0.604899797107022,not_promoted,0.06,0.0,-0.010000000000000009,True
