row_type,case_id,name,topology,role,time,source_envelope,generated_envelope,target_envelope,target_phase_error
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,15.4008222,0.3631196783935143,0.3695223058406355,1.2521687638643955,0.47286400986468324
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,15.7328222,0.36477798415881957,0.3734070334586279,1.2477038928224222,0.41800162528038953
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,16.064822200000002,0.3667026310446663,0.3776850752496442,1.2685565027670735,0.3606857027614936
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,16.396822200000003,0.3683771261605552,0.38300477596072563,1.3132333174089246,0.3117205756443342
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,16.7288222,0.3698579198979237,0.3892755405207755,1.3778168827598318,0.2727243878382888
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,17.060822199999997,0.37153160890027465,0.39529949886726584,1.4569425105414802,0.2440980042488783
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,17.392822199999998,0.372915324741168,0.4016884689477492,1.5449577577105253,0.2282404344017599
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,17.7248222,0.37423188642583965,0.4087368178691711,1.6366581161694451,0.22422867789259104
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,18.0568222,0.3756981833404265,0.41529959420957424,1.727379282512474,0.22763760170495928
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,18.388822200000003,0.3768817813403005,0.4215313397219499,1.813458259071787,0.2368902099441148
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,18.720822199999997,0.37811674497890835,0.42782421702678264,1.8923006532497049,0.2525843328999944
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,19.052822199999998,0.3794739935547175,0.4337450307475709,1.9617052538294222,0.2719515855522121
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,19.384822200000002,0.380561257208343,0.43891975377343867,2.0202351010566684,0.2921405261261216
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,19.716822199999996,0.3817600141315895,0.44361073932515166,2.0672140454362284,0.31419488778204485
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,20.0488222,0.38303547985048325,0.44801551904800935,2.102200756720623,0.3381995393593269
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,20.3808222,0.38404690265110064,0.4515031495037036,2.125186408557863,0.3607014568763587
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,20.712822199999998,0.38517697555047803,0.45423598590659814,2.136580556562169,0.38172954731489384
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,21.044822200000002,0.38633214726314075,0.4565928302265162,2.137103040994865,0.40305378806303027
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,21.3768222,0.3872465462302408,0.45812348589101926,2.1277912234199157,0.421615022825081
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,21.708822200000004,0.38827183207880567,0.4590156259201479,2.1099508840904404,0.4365027251401674
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,22.0408222,0.3892781037890518,0.45957484936556575,2.0851785315749467,0.44941873972650326
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,22.3728222,0.39008198280366907,0.4596857709633573,2.0553009069168064,0.45854013176083086
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,22.704822200000002,0.39098946648007155,0.4594777952917765,2.022341625305043,0.46298792109008113
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,23.036822200000003,0.39184317943237407,0.4592314778287494,1.988500617126924,0.46349617584413316
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,23.368822200000004,0.392540618237407,0.45903885698520874,1.9559636161332208,0.4596788349206218
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,23.7008222,0.3933410783738907,0.45876613402567185,1.9268947145510993,0.45175955232255305
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,24.0328222,0.3940630409738277,0.4587540794327725,1.9032988940908215,0.4400515250638657
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,24.3648222,0.39467288167967307,0.45918636729758205,1.8868841398032306,0.425213626427428
