row_type,case_id,name,time_s,v_in,v_mid,v_out,i_src,i_bias,family,extraction_topology
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,6.653225806451613e-08,6.653225806451613e-08,1.0535624794170488,0.8414408916602235,-4.473831132859338e-15,-0.016666920236223386,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,6.985887096774194e-08,6.985887096774194e-08,0.10072055482527258,0.05939148861727468,7.630314487601262e-15,-0.00019345452665095345,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,7.318548387096775e-08,7.318548387096775e-08,-0.9849729668520409,-1.5305796770171731,-4.029189219222293e-15,0.016043567321983053,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,7.651209677419356e-08,7.651209677419356e-08,-1.1139999841064074,0.04854688268748561,9.140941289068925e-15,0.015959665415867304,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,7.983870967741936e-08,7.983870967741936e-08,-0.11752587720861252,0.01782861228330507,8.319549939314777e-15,0.00018851937823919396,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,8.316532258064517e-08,8.316532258064517e-08,0.9717813095974682,0.7813170305268181,2.1704760944331355e-12,-0.016100574947774945,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,8.649193548387098e-08,8.649193548387098e-08,1.0605587980101654,0.785240444001867,1.753779356861092e-10,-0.016784556855987117,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,8.981854838709678e-08,8.981854838709678e-08,0.11584845818128253,-0.0068527730286804395,9.389727518719752e-09,-0.0004300893709761618,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,9.314516129032259e-08,9.314516129032259e-08,-0.9754957368748793,-1.4961008522036165,3.3958856812312035e-07,0.01593242353191443,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,9.64717741935484e-08,9.64717741935484e-08,-1.1201929934907753,-0.017795081991985307,8.275469174686294e-06,0.016083529555984254,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,9.979838709677421e-08,9.979838709677421e-08,-0.1326357808792313,0.05614602732653744,0.0001341196129652792,0.0004257282146603997,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.03125e-07,1.03125e-07,0.9636554230324441,0.765922483254231,0.001414026793703167,-0.015966777503643607,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.0645161290322582e-07,1.0645161290322582e-07,1.06691975479264,0.7892847749685392,0.009350697651590344,-0.01688811525011214,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.0977822580645163e-07,1.0977822580645163e-07,0.13080865872218106,0.02058470841943759,0.0372771104364263,-0.000668753727976496,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.1310483870967742e-07,1.1310483870967742e-07,-0.9658870637032474,-1.5348804849988973,0.08533412745595695,0.015818428452902482,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.1643145161290323e-07,1.1643145161290323e-07,-1.1256170030814374,-0.014432300302873138,0.09367796800983844,0.0162023025632964,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.1975806451612904e-07,1.1975806451612904e-07,-0.14742982848554773,0.06004170926655003,-0.09878008286376558,0.0006655782296827561,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.2308467741935485e-07,1.2308467741935485e-07,0.9555710524705786,0.7540337283525614,-0.507080378822421,-0.01583265176304559,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.2641129032258067e-07,1.2641129032258067e-07,1.0736991620856577,0.7878002797824413,0.199858459490297,-0.016986051624764447,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.2973790322580648e-07,1.2973790322580648e-07,0.14795390064599345,0.06316125536246053,0.3579835708019399,-0.0008783485650037826,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.3306451612903226e-07,1.3306451612903226e-07,-0.9468716379366989,-1.5706836099063528,-0.23093677328157974,0.0158250121988352,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.3639112903225807e-07,1.3639112903225807e-07,-1.100879097653228,-0.024302395400006196,0.38918131596362987,0.01672126146039603,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.3971774193548388e-07,1.3971774193548388e-07,-0.10129377628020372,0.05270993990324262,-0.38664429825515884,0.001718177345594165,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.430443548387097e-07,1.430443548387097e-07,1.007294771837362,0.7579027504181538,-0.18478681539606606,-0.014887305034783015,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.463709677419355e-07,1.463709677419355e-07,1.0582922280060754,0.7773312202721194,0.06474594934759419,-0.01738698624674973,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.496975806451613e-07,1.496975806451613e-07,0.06325819353424322,0.10021312481254041,0.37972349350991863,-0.0024450465527777036,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.5302419354838712e-07,1.5302419354838712e-07,-0.9254531182295656,-1.595400413777845,-0.2652399403380852,0.015854813854871988,hybrid_varactor_plus_magnetic_line,single_high_q
spice_hybrid_purity_412_lockin_timeseries,p001,p001_h024_single_high_q_96c_75ohm,1.563508064516129e-07,1.563508064516129e-07,-1.0924309056646835,-0.016820740973991992,0.2857212546994725,0.017020452895904547,hybrid_varactor_plus_magnetic_line,single_high_q
