row_type,case_id,name,time_s,v_in,v_mid,v_out,i_src,i_bias
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,0.0,0.0,6.49632316e-10,6.54381379e-10,6.49632316e-10,2.59852926e-11
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,3.946896304269824e-09,3.946896304269824e-09,0.537398924848735,6.553674748239733e-10,6.496217890685552e-10,-0.05413157363193862
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,7.893792608539648e-09,7.893792608539648e-09,0.8929480201194027,4.471238670047504e-09,6.496251487500323e-10,-0.013430578078630346
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,1.1840688912809473e-08,1.1840688912809473e-08,0.1439838069047489,5.334809055434054e-07,6.496252324492569e-10,0.04947280430618604
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,1.5787585217079297e-08,1.5787585217079297e-08,-0.9398682010388836,1.7283413726595928e-05,6.496342400814897e-10,0.03993105557624119
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,1.973448152134912e-08,1.973448152134912e-08,-0.7774539678608481,0.0002376914251778994,6.499442097719629e-10,-0.024435090932262888
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,2.3681377825618945e-08,2.3681377825618945e-08,0.450454119845983,0.001829124747652095,6.683565438130242e-10,-0.05521204229596318
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,2.762827412988877e-08,2.762827412988877e-08,1.0676878052304697,0.009143829711180683,1.2455127926102472e-09,-0.011516100295610145
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,3.1575170434158593e-08,3.1575170434158593e-08,0.3025089434293871,0.032285182450414805,1.2162396514703517e-08,0.05007388474401603
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,3.552206673842842e-08,3.552206673842842e-08,-0.9485573449918834,0.0846833543209067,1.5040357933155602e-07,0.04095703293330358
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,3.946896304269824e-08,3.946896304269824e-08,-0.9058266475356037,0.1693999236989394,1.4110387478961894e-06,-0.02294961947575782
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,4.341585934696807e-08,4.341585934696807e-08,0.3749342663068426,0.25902972277012165,1.0141944686578572e-05,-0.05526896222397355
