row_type,case_id,name,time_s,v_in,v_mid,v_out,i_src,i_bias,family,hybrid_section_placement,cleanup_topology
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,8.797744168162011e-08,8.797744168162011e-08,0.7117065910330441,0.7226200878945018,7.062096539411974e-09,-0.01029392627717325,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,9.13611894386055e-08,9.13611894386055e-08,-0.4291851714746595,-2.1057531421421007,3.000474503918534e-07,0.008100113004662896,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,9.474493719559088e-08,9.474493719559088e-08,-1.167709073876493,-0.06632807915664252,8.310645017097588e-06,0.017650451473922302,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,9.812868495257628e-08,9.812868495257628e-08,-0.7051887665857933,-0.22062561157989774,0.00014833970241699755,0.009080366765930128,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,1.0151243270956167e-07,1.0151243270956167e-07,0.48548325657033875,0.6372131024306307,0.00167742711267237,-0.008774717710428037,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,1.0489618046654705e-07,1.0489618046654705e-07,1.1391291814366014,0.8655059287488248,0.011592998395482015,-0.018123933903172327,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,1.0827992822353244e-07,1.0827992822353244e-07,0.625649563585025,0.5862121047966646,0.04661728586532352,-0.008801672534813672,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,1.1166367598051783e-07,1.1166367598051783e-07,-0.5285072595632087,-2.0473624288852608,0.10148022530856268,0.009586639910071188,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,1.1504742373750322e-07,1.1504742373750322e-07,-1.1736078644550403,-0.0637141474314554,0.08342177881886356,0.017676959262674437,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,1.184311714944886e-07,1.184311714944886e-07,-0.5922907694112108,-0.13967903294920084,-0.19382012100928178,0.007873180469693172,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,1.21814919251474e-07,1.21814919251474e-07,0.6317047735592463,0.6662793881115165,-0.4848045665109849,-0.009567637031879243,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,1.251986670084594e-07,1.251986670084594e-07,1.2087526339824557,0.8792314671010977,0.4165362399478692,-0.0171433213995011,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,1.2858241476544477e-07,1.2858241476544477e-07,0.5575958954375762,0.4167135363406614,0.019653488549862062,-0.006921098107704337,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,1.3196616252243016e-07,1.3196616252243016e-07,-0.7172893115742018,-1.8464869437051143,0.256492900673648,0.009740408027437794,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
spice_hybrid_magnetic_412_refine_timeseries,h023,h023_varactor_first_then_magnetic_96c_75ohm,1.3534991027941554e-07,1.3534991027941554e-07,-1.2029003337950974,-0.1022605628594723,-0.24185398865470673,0.017087845279761035,hybrid_varactor_plus_magnetic_line,varactor_first_then_magnetic,extraction_plus_rejection
