row_type,circuit,case_id,role,control_kind,nonlinear_variant,time_s,v_source,v_generated,v_target,i_source,i_generated,i_target,scale_preset,phase_error_target,unwrapped_phase_error_target,generated_envelope,target_envelope
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,46.0190911,0.402476088,-0.00118803758,-1.44740064e-07,0.0985111073,0.0843053762,-0.000236726014,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,48.141166,-0.349879853,-0.0116079487,1.3535798e-05,0.23417203,-0.0720021391,3.56650657e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,50.2660183,0.113366904,0.018512086,6.63896292e-05,-0.445161882,0.0228844453,6.97880557e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,52.5285673,0.124409872,-0.0175811883,-4.85611941e-05,0.449505013,0.0273095303,1.59942654e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,54.6111577,-0.36786072,0.00679652109,-9.0413428e-07,-0.226471216,-0.0777617407,0.000187046472,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,56.9354266,0.414940689,0.00296406258,-1.90091985e-05,-0.00414947298,0.086424894,-0.00019497326,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,59.1747682,-0.332837693,-0.0129322442,-5.04326137e-06,0.272359653,-0.0683544856,-4.040006e-06,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,61.5672408,0.196647132,0.0174647437,4.97258029e-05,-0.409268691,0.0400936039,5.28678812e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,64.0796089,-0.0790224431,-0.0190840503,-6.41239043e-05,0.460224604,-0.0157428848,-2.31072649e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,66.750088,0.0282111834,0.0197003551,6.49451993e-05,-0.469405245,0.00511956036,8.05504165e-06,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,69.4636246,0.0022475407,-0.0195934034,-6.04815001e-05,0.471620369,0.00142813229,-3.64622238e-06,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,72.2050863,-0.0194914976,0.0193830677,5.59867942e-05,-0.471807979,-0.00513708786,4.80137559e-06,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,74.9870323,0.0177422622,-0.0194196088,-5.51976771e-05,0.472009785,0.00474191671,-7.79219815e-06,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,77.7454348,-0.0269790589,0.0192578403,5.25397861e-05,-0.471821558,-0.00674618724,1.14935967e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,80.5237135,0.0269019239,-0.0192734651,-5.18489143e-05,0.471910472,0.00670979967,-1.46964746e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,83.3236265,-0.0167234438,0.0194403058,5.30637717e-05,-0.472286449,-0.00453844163,1.7359695e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,86.180122,-0.020120786,-0.0197631653,-5.62695252e-05,0.471119077,-0.00340426032,-1.95354205e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,89.0649089,0.0707041631,0.019270673,5.33503855e-05,-0.463545105,0.0140473613,2.24491204e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,91.9484398,-0.119484081,-0.0187325887,-4.93575864e-05,0.449363143,-0.0241639333,-2.20830705e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,95.1018915,0.273961218,0.0155506069,2.89219529e-05,-0.349283364,0.0560892391,-5.41342669e-06,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,98.2265187,-0.373773767,-0.010419709,-5.52971747e-06,0.201260175,-0.0770858203,7.11044685e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,101.369762,0.417486254,0.00330195295,-8.97096709e-06,-0.0128096661,0.0869817516,-0.000143832711,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,104.489996,-0.394808524,0.00415452044,1.38086716e-05,-0.166393061,-0.083137103,0.000162820958,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,107.739135,0.270380537,-0.0133968301,-2.65680979e-05,0.367859135,0.0577788024,-0.0001022565,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,110.992889,-0.0686563164,0.0186771284,4.82962332e-05,-0.467748827,-0.0155397655,4.11207729e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,113.927633,-0.00484156669,-0.0197143392,-5.58857157e-05,0.472077188,-0.000106128368,-3.62988775e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,116.871589,0.0835044472,0.0190998701,5.09964719e-05,-0.460498148,0.0167031563,3.61767937e-05,,,,,
