 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 2.37235771e-08  2.37235771e-08  7.07998377e-06  3.56927415e-06  2.03951882e-06  1.62540803e-09  7.47311037e-10  4.55777706e-10
 2.40513231e-08  2.40513231e-08  7.41163058e-06  3.98037525e-06  2.39327067e-06  1.71883963e-09  8.39311007e-10  5.39619846e-10
 2.43630968e-08  2.43630968e-08  7.74202788e-06  4.41594832e-06  2.78438551e-06  1.81175631e-09  9.36636824e-10  6.32747907e-10
 2.46604986e-08  2.46604986e-08  8.07208410e-06  4.87718472e-06  3.21511047e-06  1.90423146e-09  1.03938841e-09  7.35658806e-10
 2.49445632e-08  2.49445632e-08  8.40229669e-06  5.36482084e-06  3.68726657e-06  1.99622651e-09  1.14754949e-09  8.48725869e-10
 2.52161070e-08  2.52161070e-08  8.73305072e-06  5.87944697e-06  4.20248049e-06  2.08767447e-09  1.26105755e-09  9.72251029e-10
 2.54758824e-08  2.54758824e-08  9.06476836e-06  6.42170736e-06  4.76236992e-06  2.17852116e-09  1.37984899e-09  1.10650770e-09
 2.57591743e-08  2.57591743e-08  9.44529001e-06  7.07514889e-06  5.45749967e-06  2.28153569e-09  1.52200395e-09  1.27344150e-09
 2.60212006e-08  2.60212006e-08  9.81700206e-06  7.74557697e-06  6.19189893e-06  2.38066968e-09  1.66640874e-09  1.44948597e-09
 2.63004163e-08  2.63004163e-08  1.02368616e-05  8.54004060e-06  7.08694802e-06  2.49062443e-09  1.83551716e-09  1.66335747e-09
 2.65635215e-08  2.65635215e-08  1.06581563e-05  9.37545259e-06  8.05385056e-06  2.59855743e-09  2.01084215e-09  1.89319985e-09
 2.68365868e-08  2.68365868e-08  1.11257860e-05  1.03454062e-05  9.20545687e-06  2.71531475e-09  2.21116221e-09  2.16516382e-09
 2.70981593e-08  2.70981593e-08  1.16074979e-05  1.13886560e-05  1.04744553e-05  2.83200489e-09  2.42266794e-09  2.46227932e-09
 2.73645197e-08  2.73645197e-08  1.21379086e-05  1.25852035e-05  1.19634046e-05  2.95609094e-09  2.66026619e-09  2.80729009e-09
 2.76219877e-08  2.76219877e-08  1.26959402e-05  1.38932076e-05  1.36262300e-05  3.08150176e-09  2.91395783e-09  3.18770236e-09
 2.78804475e-08  2.78804475e-08  1.33097694e-05  1.53837558e-05  1.55592122e-05  3.21330307e-09  3.19557489e-09  3.62331600e-09
 2.81311527e-08  2.81311527e-08  1.39672395e-05  1.70324956e-05  1.77372577e-05  3.34736648e-09  3.49807329e-09  4.10547418e-09
 2.83799392e-08  2.83799392e-08  1.46934407e-05  1.89065999e-05  2.02555299e-05  3.48711732e-09  3.83092080e-09  4.65152893e-09
 2.85808134e-08  2.85808134e-08  1.53464725e-05  2.06306822e-05  2.26064410e-05  3.60534244e-09  4.12651159e-09  5.14878746e-09
 2.87770708e-08  2.87770708e-08  1.60533844e-05  2.25307065e-05  2.52283968e-05  3.72602984e-09  4.44166895e-09  5.69072932e-09
 2.89497761e-08  2.89497761e-08  1.67424396e-05  2.44098620e-05  2.78484497e-05  3.83691554e-09  4.74321778e-09  6.21974241e-09
 2.91091582e-08  2.91091582e-08  1.74446823e-05  2.63467070e-05  3.05726496e-05  3.94354938e-09  5.04404848e-09  6.75693273e-09
 2.92640313e-08  2.92640313e-08  1.81999328e-05  2.84486041e-05  3.35522586e-05  4.05155195e-09  5.35959163e-09  7.32982091e-09
 2.94158553e-08  2.94158553e-08  1.90236612e-05  3.07575682e-05  3.68490775e-05  4.16209195e-09  5.69382451e-09  7.94642543e-09
