 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 4.68029558e-06  4.68029558e-06  4.47518237e-08  1.24970511e-10  4.97841553e-13  4.03338886e-12 -2.36151892e-15  1.43487051e-16
 4.88831479e-06  4.88831479e-06  5.09787955e-08  1.42363910e-10  5.67147679e-13  4.79623773e-12 -2.80720993e-15  1.70630480e-16
 5.10614050e-06  5.10614050e-06  5.80926056e-08  1.62235057e-10  6.46327861e-13  5.70636565e-12 -3.33877640e-15  2.03015121e-16
 5.33313239e-06  5.33313239e-06  6.61802652e-08  1.84827166e-10  7.36352736e-13  6.78697234e-12 -3.96970773e-15  2.41466729e-16
 5.57058008e-06  5.57058008e-06  7.54099544e-08  2.10610224e-10  8.39095468e-13  8.07486585e-12 -4.72142226e-15  2.87295347e-16
 5.81821642e-06  5.81821642e-06  8.59111181e-08  2.39946057e-10  9.55997864e-13  9.60518621e-12 -5.61434296e-15  3.41751719e-16
 6.07710849e-06  6.07710849e-06  9.78877995e-08  2.73404933e-10  1.08933380e-12  1.14279747e-11 -6.67756278e-15  4.06616939e-16
 6.34725127e-06  6.34725127e-06  1.11521174e-07  3.11493301e-10  1.24112122e-12  1.35949859e-11 -7.94114251e-15  4.83733136e-16
 6.62956957e-06  6.62956957e-06  1.27064172e-07  3.54918139e-10  1.41417948e-12  1.61751832e-11 -9.44514047e-15  5.75554966e-16
 6.92425498e-06  6.92425498e-06  1.44762733e-07  4.04366983e-10  1.61124737e-12  1.92436326e-11 -1.12331259e-14  6.84754297e-16
 7.23215103e-06  7.23215103e-06  1.64935352e-07  4.60730174e-10  1.83587571e-12  2.28962823e-11 -1.33607814e-14  8.14746321e-16
 7.55360331e-06  7.55360331e-06  1.87910145e-07  5.24925054e-10  2.09171971e-12  2.72410248e-11 -1.58906783e-14  9.69371372e-16
 7.88941786e-06  7.88941786e-06  2.14092459e-07  5.98084887e-10  2.38329732e-12  3.24121932e-11 -1.89007021e-14  1.15341091e-15
 8.24006625e-06  8.24006625e-06  2.43915512e-07  6.81420980e-10  2.71543662e-12  3.85639979e-11 -2.24802062e-14  1.37235394e-15
 8.60634886e-06  8.60634886e-06  2.77898819e-07  7.76385966e-10  3.09392942e-12  4.58852795e-11 -2.67385708e-14  1.63292214e-15
 8.98884553e-06  8.98884553e-06  3.16610733e-07  8.84569178e-10  3.52510909e-12  5.45956860e-11 -3.18029417e-14  1.94293370e-15
 9.38837481e-06  9.38837481e-06  3.60720137e-07  1.00784115e-09  4.01643063e-12  6.49613792e-11 -3.78273225e-14  2.31186229e-15
 9.80561452e-06  9.80561452e-06  4.10969733e-07  1.14827902e-09  4.57617299e-12  7.72945332e-11 -4.49922279e-14  2.75081922e-15
 1.02414199e-05  1.02414199e-05  4.68223262e-07  1.30829858e-09  5.21396400e-12  9.19709218e-11 -5.35148384e-14  3.27317933e-15
 1.06965617e-05  1.06965617e-05  5.33448859e-07  1.49060783e-09  5.94059574e-12  1.09433618e-10 -6.36510663e-14  3.89471254e-15
 1.11719468e-05  1.11719468e-05  6.07764001e-07  1.69833271e-09  6.76852448e-12  1.30213719e-10 -7.57074899e-14  4.63432136e-15
 1.16684379e-05  1.16684379e-05  6.92428733e-07  1.93499827e-09  7.71179765e-12  1.54939549e-10 -9.00465654e-14  5.51436809e-15
 1.21870064e-05  1.21870064e-05  7.88890556e-07  2.20465428e-09  8.78654985e-12  1.84362253e-10 -1.07101324e-13  6.56158552e-15
 1.27286084e-05  1.27286084e-05  8.98787845e-07  2.51188500e-09  1.00110442e-11  2.19372381e-10 -1.27384793e-13  7.80766646e-15
 1.32942915e-05  1.32942915e-05  1.02399704e-06  2.86194122e-09  1.14061971e-11  2.61032772e-10 -1.51508818e-13  9.29043348e-15
 1.38851093e-05  1.38851093e-05  1.16664714e-06  3.26078105e-09  1.29957402e-11  3.10605226e-10 -1.80199219e-13  1.10547872e-14
 1.45021961e-05  1.45021961e-05  1.32917183e-06  3.71521601e-09  1.48067996e-11  3.69594055e-10 -2.14320639e-13  1.31542547e-14
 1.51467090e-05  1.51467090e-05  1.51433658e-06  4.23298703e-09  1.68701968e-11  4.39786718e-10 -2.54899608e-13  1.56524339e-14
 1.58198800e-05  1.58198800e-05  1.72529885e-06  4.82293316e-09  1.92211215e-11  5.23312788e-10 -3.03158081e-13  1.86250892e-14
 1.65229766e-05  1.65229766e-05  1.96565000e-06  5.49510941e-09  2.18995941e-11  6.22704075e-10 -3.60547493e-13  2.21622881e-14
 1.72573393e-05  1.72573393e-05  2.23948730e-06  6.26098856e-09  2.49512689e-11  7.40975705e-10 -4.28794729e-13  2.63712809e-14
 1.80243551e-05  1.80243551e-05  2.55147400e-06  7.13362986e-09  2.84280973e-11  8.81713591e-10 -5.09951542e-13  3.13796071e-14
 1.88254843e-05  1.88254843e-05  2.90692765e-06  8.12792691e-09  3.23893144e-11  1.04918708e-09 -6.06458200e-13  3.73390953e-14
 1.96622432e-05  1.96622432e-05  3.31190274e-06  9.26083977e-09  3.69023481e-11  1.24847494e-09 -7.21214448e-13  4.44303331e-14
 2.05362240e-05  2.05362240e-05  3.77330119e-06  1.05517052e-08  4.20440507e-11  1.48562293e-09 -8.57668234e-13  5.28682596e-14
 2.14490838e-05  2.14490838e-05  4.29898343e-06  1.20225487e-08  4.79019244e-11  1.76782417e-09 -1.01991693e-12  6.29085590e-14
