 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 8.13126949e-03  8.13126949e-03  1.14047907e-09  4.58191144e-09  5.04456280e-15  2.90773537e-12  4.87984188e-11 -3.03730548e-13
 8.69754480e-03  8.69754480e-03  1.39510720e-09  5.60485583e-09  6.63554338e-15  3.79929572e-12  6.37603813e-11 -3.96845737e-13
 9.30314904e-03  9.30314904e-03  1.70666406e-09  6.85649314e-09  8.73484407e-15  4.96568109e-12  8.33341898e-11 -5.18658026e-13
 9.95087002e-03  9.95087002e-03  2.08790437e-09  8.38805627e-09  1.15067310e-14  6.49181355e-12  1.08944830e-10 -6.78032453e-13
 1.06156173e-02  1.06156173e-02  2.53426276e-09  1.01811960e-08  1.50041260e-14  8.39938945e-12  1.40956219e-10 -8.77230107e-13
 1.12686600e-02  1.12686600e-02  3.03059883e-09  1.21750817e-08  1.91773212e-14  1.06545774e-11  1.78800455e-10 -1.11271378e-12
 1.19111534e-02  1.19111534e-02  3.57826113e-09  1.43751239e-08  2.40945577e-14  1.32880497e-11  2.22992081e-10 -1.38768204e-12
 1.25380026e-02  1.25380026e-02  4.17252293e-09  1.67623279e-08  2.97671109e-14  1.62996693e-11  2.73528615e-10 -1.70211624e-12
 1.31523939e-02  1.31523939e-02  4.81544397e-09  1.93449611e-08  3.62659069e-14  1.97209147e-11  3.30938098e-10 -2.05929855e-12
 1.37559370e-02  1.37559370e-02  5.50816334e-09  2.21275921e-08  4.36562102e-14  2.35796122e-11  3.95687256e-10 -2.46212922e-12
 1.43627996e-02  1.43627996e-02  6.26865103e-09  2.51823962e-08  5.21998257e-14  2.80043579e-11  4.69933678e-10 -2.92402705e-12
 1.50045907e-02  1.50045907e-02  7.14588671e-09  2.87061031e-08  6.25768484e-14  3.33337957e-11  5.59359301e-10 -3.48033270e-12
 1.56654287e-02  1.56654287e-02  8.13103083e-09  3.26631836e-08  7.48506820e-14  3.95829868e-11  6.64216256e-10 -4.13260480e-12
 1.63653229e-02  1.63653229e-02  9.26903488e-09  3.72341684e-08  8.97901535e-14  4.71212110e-11  7.90700017e-10 -4.91937014e-12
 1.70896743e-02  1.70896743e-02  1.05538546e-08  4.23947443e-08  1.07569726e-13  5.60091806e-11  9.39828274e-10 -5.84694303e-12
 1.78526044e-02  1.78526044e-02  1.20300980e-08  4.83240394e-08  1.29111723e-13  6.66743802e-11  1.11877237e-09 -6.95990887e-12
 1.86444088e-02  1.86444088e-02  1.37015638e-08  5.50372568e-08  1.54841166e-13  7.92859681e-11  1.33036884e-09 -8.27588465e-12
 1.94756128e-02  1.94756128e-02  1.56157164e-08  6.27249637e-08  1.85934412e-13  9.43698332e-11  1.58343891e-09 -9.84970014e-12
 2.03401860e-02  2.03401860e-02  1.77877637e-08  7.14481556e-08  2.23179634e-13  1.12245956e-10  1.88334836e-09 -1.17146844e-11
 2.12460744e-02  2.12460744e-02  2.02704809e-08  8.14186797e-08  2.68136551e-13  1.33586253e-10  2.24136648e-09 -1.39408651e-11
 2.21897573e-02  2.21897573e-02  2.30919081e-08  9.27490157e-08  3.22108323e-13  1.58915035e-10  2.66628495e-09 -1.65828459e-11
 2.31769874e-02  2.31769874e-02  2.63117510e-08  1.05678771e-07  3.87198878e-13  1.89104084e-10  3.17272312e-09 -1.97314441e-11
 2.42066186e-02  2.42066186e-02  2.99750466e-08  1.20388600e-07  4.65488795e-13  2.24976254e-10  3.77447735e-09 -2.34723325e-11
 2.52831240e-02  2.52831240e-02  3.41531001e-08  1.37164580e-07  5.59922274e-13  2.67706107e-10  4.49124131e-09 -2.79278118e-11
 2.64064852e-02  2.64064852e-02  3.89091388e-08  1.56260277e-07  6.73655355e-13  3.18507578e-10  5.34336555e-09 -3.32242218e-11
 2.75805427e-02  2.75805427e-02  4.43313888e-08  1.78029544e-07  8.10896417e-13  3.78997787e-10  6.35795913e-09 -3.95298561e-11
 2.88060969e-02  2.88060969e-02  5.05056788e-08  2.02816492e-07  9.76370976e-13  4.50937501e-10  7.56453463e-09 -4.70278756e-11
 3.00866507e-02  3.00866507e-02  5.75431040e-08  2.31066529e-07  1.17616228e-12  5.36576718e-10  9.00080264e-09 -5.59522997e-11
 3.14236461e-02  3.14236461e-02  6.55581677e-08  2.63238571e-07  1.41730262e-12  6.38446266e-10  1.07091740e-08 -6.65662408e-11
 3.28204335e-02  3.28204335e-02  7.46922778e-08  2.99899315e-07  1.70865123e-12  7.59696670e-10  1.27424395e-08 -7.91971617e-11
 3.42789793e-02  3.42789793e-02  8.50966115e-08  3.41654399e-07  2.06064169e-12  9.03945393e-10  1.51612044e-08 -9.42208888e-11
 3.58026127e-02  3.58026127e-02  9.69524216e-08  3.89229833e-07  2.48624586e-12  1.07562186e-09  1.80396679e-08 -1.12097461e-10
 3.73937512e-02  3.73937512e-02  1.10458040e-07  4.43419750e-07  3.00092585e-12  1.27987889e-09  2.14641321e-08 -1.33361793e-10
 3.90558021e-02  3.90558021e-02  1.25846850e-07  5.05158414e-07  3.62375363e-12  1.52296029e-09  2.55391552e-08 -1.58661798e-10
 4.07915913e-02  4.07915913e-02  1.43378026e-07  5.75482924e-07  4.37764327e-12  1.81219016e-09  3.03873610e-08 -1.88757086e-10
