 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 4.69452727e-06  4.69452727e-06  4.47925407e-08  8.92315386e-10  2.55935390e-11  4.04901896e-12  1.28417757e-13  6.03032947e-15
 4.90317059e-06  4.90317059e-06  5.10246502e-08  1.01711452e-09  2.91919720e-11  4.81477112e-12  1.52855281e-13  7.18344871e-15
 5.12168015e-06  5.12168015e-06  5.81453088e-08  1.15976685e-09  3.33069201e-11  5.72848890e-12  1.82036315e-13  8.56119224e-15
 5.34935961e-06  5.34935961e-06  6.62398597e-08  1.32199481e-09  3.79884423e-11  6.81323848e-12  2.16703942e-13  1.01988822e-14
 5.58754770e-06  5.58754770e-06  7.54782246e-08  1.50721771e-09  4.33356060e-11  8.10618350e-12  2.58053183e-13  1.21532423e-14
 5.83593894e-06  5.83593894e-06  8.59885246e-08  1.71801933e-09  4.94234408e-11  9.64239940e-12  3.07214105e-13  1.44779939e-14
 6.09563490e-06  6.09563490e-06  9.79762941e-08  1.95853839e-09  5.63719268e-11  1.14723126e-11  3.65809898e-13  1.72502467e-14
 6.36660459e-06  6.36660459e-06  1.11621686e-07  2.23240722e-09  6.42865088e-11  1.36476981e-11  4.35509251e-13  2.05493484e-14
 6.64979723e-06  6.64979723e-06  1.27178934e-07  2.54474776e-09  7.33157522e-11  1.62379586e-11  5.18548106e-13  2.44815876e-14
 6.94538707e-06  6.94538707e-06  1.44893225e-07  2.90050365e-09  8.36031505e-11  1.93182893e-11  6.17351068e-13  2.91622951e-14
 7.25423514e-06  7.25423514e-06  1.65084225e-07  3.30611761e-09  9.53356618e-11  2.29851653e-11  7.35028511e-13  3.47394083e-14
 7.57667570e-06  7.57667570e-06  1.88079543e-07  3.76819577e-09  1.08705043e-10  2.73467525e-11  8.75069789e-13  4.13789637e-14
 7.91352758e-06  7.91352758e-06  2.14285620e-07  4.29493223e-09  1.23949116e-10  3.25380442e-11  1.04182980e-12  4.92881866e-14
 8.26525522e-06  8.26525522e-06  2.44135404e-07  4.89505836e-09  1.41321369e-10  3.87137192e-11  1.24030065e-12  5.87047017e-14
 8.63266861e-06  8.63266861e-06  2.78149477e-07  5.57907199e-09  1.61126513e-10  4.60634761e-11  1.47660532e-12  6.99199810e-14
 9.01634345e-06  9.01634345e-06  3.16896163e-07  6.35843606e-09  1.83697358e-10  5.48076990e-11  1.75785956e-12  8.32728394e-14
 9.41710573e-06  9.41710573e-06  3.61045441e-07  7.24666366e-09  2.09426187e-10  6.52136954e-11  2.09269535e-12  9.91743234e-14
 9.83563127e-06  9.83563127e-06  4.11340234e-07  8.25874117e-09  2.38748101e-10  7.75947473e-11  2.49123197e-12  1.18106391e-13
 1.02727813e-05  1.02727813e-05  4.68645469e-07  9.41211616e-09  2.72169638e-10  9.23281889e-11  2.96565937e-12  1.40649676e-13
 1.07293262e-05  1.07293262e-05  5.33929787e-07  1.07263302e-08  3.10258124e-10  1.09858720e-10  3.53034685e-12  1.67488718e-13
 1.12061781e-05  1.12061781e-05  6.08312007e-07  1.22239547e-08  3.53668845e-10  1.30719595e-10  4.20252747e-12  1.99444553e-13
 1.17042002e-05  1.17042002e-05  6.93053008e-07  1.39304289e-08  4.03140282e-10  1.55541491e-10  5.00258638e-12  2.37488494e-13
 1.22243686e-05  1.22243686e-05  7.89601872e-07  1.58749891e-08  4.59521124e-10  1.85078556e-10  5.95490267e-12  2.82782237e-13
 1.27676410e-05  1.27676410e-05  8.99598204e-07  1.80907168e-08  5.23771600e-10  2.20224725e-10  7.08837847e-12  3.36703112e-13
 1.33350694e-05  1.33350694e-05  1.02492036e-06  2.06155105e-08  5.96991677e-10  2.62047041e-10  8.43751664e-12  4.00895433e-13
 1.39263319e-05  1.39263319e-05  1.16735226e-06  2.34853726e-08  6.80226268e-10  3.11688416e-10  1.00392859e-11  4.77121377e-13
 1.45448187e-05  1.45448187e-05  1.32985349e-06  2.67600017e-08  7.75207481e-10  3.70837498e-10  1.19482862e-11  5.67982774e-13
 1.51898883e-05  1.51898883e-05  1.51470947e-06  3.04855200e-08  8.83273502e-10  4.41109196e-10  1.42167633e-11  6.75970094e-13
 1.58644348e-05  1.58644348e-05  1.72554256e-06  3.47349985e-08  1.00654392e-09  5.24812729e-10  1.69194020e-11  8.04642574e-13
 1.65683596e-05  1.65683596e-05  1.96551353e-06  3.95722116e-08  1.14686825e-09  6.24313176e-10  2.01327210e-11  9.57647412e-13
 1.73041541e-05  1.73041541e-05  2.23910027e-06  4.50874863e-08  1.30686559e-09  7.42787804e-10  2.39594986e-11  1.13988268e-12
 1.80722523e-05  1.80722523e-05  2.55060557e-06  5.13676215e-08  1.48905190e-09  8.83672158e-10  2.85108900e-11  1.35664584e-12
 1.88749166e-05  1.88749166e-05  2.90565894e-06  5.85261611e-08  1.69671778e-09  1.05138280e-09  3.39297778e-11  1.61474555e-12
 1.97130089e-05  1.97130089e-05  3.31001666e-06  6.66791991e-08  1.93322623e-09  1.25086559e-09  4.03761831e-11  1.92180678e-12
 2.05886819e-05  2.05886819e-05  3.77083638e-06  7.59710728e-08  2.20275741e-09  1.48830146e-09  4.80500758e-11  2.28735678e-12
 2.15031453e-05  2.15031453e-05  4.29573243e-06  8.65553079e-08  2.50975528e-09  1.77076822e-09  5.71804480e-11  2.72230420e-12
 2.24585295e-05  2.24585295e-05  4.89387418e-06  9.86167570e-08  2.85956882e-09  2.10695459e-09  6.80483951e-11  3.24003765e-12
 2.34563417e-05  2.34563417e-05  5.57526495e-06  1.12357047e-07  3.25802888e-09  2.50695246e-09  8.09803975e-11  3.85610456e-12
 2.44987570e-05  2.44987570e-05  6.35171020e-06  1.28014084e-07  3.71201248e-09  2.98301201e-09  9.63727292e-11  4.58937222e-12
 2.55875514e-05  2.55875514e-05  7.23629725e-06  1.45851545e-07  4.22913619e-09  3.54949114e-09  1.14689812e-10  5.46194707e-12
 2.67249969e-05  2.67249969e-05  8.24427569e-06  1.66176598e-07  4.81826781e-09  4.22369543e-09  1.36491357e-10  6.50046433e-12
 2.79131252e-05  2.79131252e-05  9.39272450e-06  1.89333160e-07  5.48932798e-09  5.02602578e-09  1.62437109e-10  7.73630964e-12
 2.91543481e-05  2.91543481e-05  1.07013854e-05  2.15718648e-07  6.25377223e-09  5.98096259e-09  1.93318627e-10  9.20712690e-12
 3.04508544e-05  3.04508544e-05  1.21923969e-05  2.45778570e-07  7.12442967e-09  7.11738207e-09  2.30069458e-10  1.09572945e-11
 3.18051622e-05  3.18051622e-05  1.38912291e-05  2.80025281e-07  8.11604103e-09  8.46983372e-09  2.73806349e-10  1.30398776e-11
 3.32198001e-05  3.32198001e-05  1.58267691e-05  3.19039633e-07  9.24529912e-09  1.00793324e-08  3.25854747e-10  1.55178278e-11
 3.46975126e-05  3.46975126e-05  1.80320666e-05  3.63485865e-07  1.05312714e-08  1.19948084e-08  3.87795511e-10  1.84661879e-11
 3.55113636e-05  3.55113636e-05  1.93289667e-05  3.89621300e-07  1.12872153e-08  1.31578638e-08  4.25403874e-10  2.02560660e-11
 3.56657222e-05  3.56657222e-05  1.95826743e-05  3.94733838e-07  1.14350690e-08  1.33887265e-08  4.32868875e-10  2.06113197e-11
 3.59744394e-05  3.59744394e-05  2.00953698e-05  4.05065106e-07  1.17338305e-08  1.38577033e-08  4.48033235e-10  2.13329598e-11
 3.65918739e-05  3.65918739e-05  2.11463762e-05  4.26242801e-07  1.23461654e-08  1.48311887e-08  4.79510221e-10  2.28307795e-11
 3.74383031e-05  3.74383031e-05  2.26453160e-05  4.56443906e-07  1.32192022e-08  1.62476814e-08  5.25309867e-10  2.50098815e-11
 3.90729771e-05  3.90729771e-05  2.57380379e-05  5.18747826e-07  1.50194924e-08  1.92711703e-08  6.23061474e-10  2.96597846e-11
 4.06162102e-05  4.06162102e-05  2.89050710e-05  5.82536165e-07  1.68616565e-08  2.24972438e-08  7.27351862e-10  3.46192820e-11
 4.25751714e-05  4.25751714e-05  3.32864583e-05  6.70762338e-07  1.94079149e-08  2.71595610e-08  8.78051912e-10  4.17832634e-11
 4.43813183e-05  4.43813183e-05  3.76984641e-05  7.59581210e-07  2.19694230e-08  3.20670033e-08  1.03664999e-09  4.93197275e-11
 4.64620625e-05  4.64620625e-05  4.32444888e-05  8.71195714e-07  2.51857857e-08  3.85134947e-08  1.24494829e-09  5.92135337e-11
 4.84626285e-05  4.84626285e-05  4.90641868e-05  9.88278895e-07  2.85567881e-08  4.55818834e-08  1.47329306e-09  7.00542112e-11
 5.06862457e-05  5.06862457e-05  5.61188114e-05  1.13015432e-06  3.26376743e-08  5.45334828e-08  1.76240538e-09  8.37723636e-11
 5.28932407e-05  5.28932407e-05  6.37568257e-05  1.28369928e-06  3.70495628e-08  6.46589654e-08  2.08934205e-09  9.92759250e-11
 5.52934222e-05  5.52934222e-05  7.28148328e-05  1.46570721e-06  4.22732300e-08  7.72037226e-08  2.49426926e-09  1.18465045e-10
 5.77219624e-05  5.77219624e-05  8.28108480e-05  1.66646218e-06  4.80276038e-08  9.16671122e-08  2.96096705e-09  1.40565136e-10
 6.03251479e-05  6.03251479e-05  9.44947554e-05  1.90098570e-06  5.47405049e-08  1.09329413e-07  3.53066712e-09  1.67520862e-10
 6.29905036e-05  6.29905036e-05  1.07541164e-04  2.16269751e-06  6.22201287e-08  1.29935064e-07  4.19502182e-09  1.98927050e-10
 6.58211290e-05  6.58211290e-05  1.22649194e-04  2.46556111e-06  7.08612646e-08  1.54866550e-07  4.99846636e-09  2.36870910e-10
 6.87412210e-05  6.87412210e-05  1.39644844e-04  2.80601189e-06  8.05568493e-08  1.84171662e-07  5.94236022e-09  2.81399209e-10
 7.18243004e-05  7.18243004e-05  1.59210504e-04  3.19762388e-06  9.16867998e-08  2.19423291e-07  7.07712735e-09  3.34867878e-10
 7.50201821e-05  7.50201821e-05  1.81325035e-04  3.63985454e-06  1.04227386e-07  2.61058764e-07  8.41653497e-09  3.97895868e-10
 7.83821489e-05  7.83821489e-05  2.06689121e-04  4.14656660e-06  1.18561396e-07  3.10961546e-07  1.00207666e-08  4.73276359e-10
 8.18779803e-05  8.18779803e-05  2.35443974e-04  4.72039474e-06  1.34750479e-07  3.70085214e-07  1.19199450e-08  5.62374146e-10
 8.55472114e-05  8.55472114e-05  2.68347006e-04  5.37622120e-06  1.53198490e-07  4.40790953e-07  1.41892203e-08  6.68648741e-10
 8.93703273e-05  8.93703273e-05  3.05720591e-04  6.12018087e-06  1.74058046e-07  5.24733271e-07  1.68807840e-08  7.94458318e-10
 9.33776456e-05  9.33776456e-05  3.48423072e-04  6.96899730e-06  1.97773243e-07  6.24986029e-07  2.00920097e-08  9.44242097e-10
 9.75587611e-05  9.75587611e-05  3.96987809e-04  7.93281923e-06  2.24596730e-07  7.44172086e-07  2.39053601e-08  1.12170026e-09
 1.01937953e-04  1.01937953e-04  4.52426836e-04  9.03116616e-06  2.55033320e-07  8.86410638e-07  2.84506027e-08  1.33268115e-09
 1.06511486e-04  1.06511486e-04  5.15527746e-04  1.02789355e-05  2.89448010e-07  1.05567886e-06  3.38521845e-08  1.58271318e-09
 1.11299857e-04  1.11299857e-04  5.87521046e-04  1.16995780e-05  3.28428109e-07  1.25761491e-06  4.02865747e-08  1.87964150e-09
 1.16304374e-04  1.16304374e-04  6.69508577e-04  1.33137349e-05  3.72465962e-07  1.49810683e-06  4.79368801e-08  2.23149479e-09
 1.21543376e-04  1.21543376e-04  7.63020553e-04  1.51501580e-05  4.22253918e-07  1.78498933e-06  5.70464464e-08  2.64891624e-09
 1.27022169e-04  1.27022169e-04  8.69554386e-04  1.72365359e-05  4.78428113e-07  2.12686448e-06  6.78807348e-08  3.14335507e-09
 1.32758149e-04  1.32758149e-04  9.91043399e-04  1.96085846e-05  5.41807724e-07  2.53473729e-06  8.07784618e-08  3.72933766e-09
 1.38759990e-04  1.38759990e-04  1.12948933e-03  2.23027046e-05  6.13188134e-07  3.02108534e-06  9.61210720e-08  4.42298056e-09
 1.45045095e-04  1.45045095e-04  1.28736164e-03  2.53635961e-05  6.93533264e-07  3.60148975e-06  1.14382941e-07  5.24414868e-09
 1.51625201e-04  1.51625201e-04  1.46731084e-03  2.88384521e-05  7.83807702e-07  4.29398900e-06  1.36109196e-07  6.21529264e-09
