 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 3.95952558e-08  3.95952558e-08  3.12171955e-05  6.25210449e-07  1.77845472e-08  1.22735480e-08  3.95162867e-10  1.86056399e-11
 4.13715915e-08  4.13715915e-08  3.55780757e-05  7.11904324e-07  2.02060065e-08  1.46173977e-08  4.70276113e-10  2.21095669e-11
 4.32249694e-08  4.32249694e-08  4.05377381e-05  8.10342525e-07  2.29445788e-08  1.74039412e-08  5.59470816e-10  2.62605202e-11
 4.51660958e-08  4.51660958e-08  4.61993737e-05  9.22514182e-07  2.60516098e-08  2.07293994e-08  6.65778040e-10  3.11950087e-11
 4.71933763e-08  4.71933763e-08  5.26435762e-05  1.04994245e-06  2.95643208e-08  2.46868629e-08  7.92110013e-10  3.70422870e-11
 4.93158605e-08  4.93158605e-08  5.99958834e-05  1.19501790e-06  3.35424337e-08  2.94080908e-08  9.42589822e-10  4.39854800e-11
 5.15341757e-08  5.15341757e-08  6.83689597e-05  1.35984897e-06  3.80360797e-08  3.50308611e-08  1.12150071e-09  5.22121793e-11
 5.38564310e-08  5.38564310e-08  7.79189832e-05  1.54736710e-06  4.31156206e-08  4.17383260e-08  1.33452936e-09  6.19707976e-11
 5.62850162e-08  5.62850162e-08  8.87990032e-05  1.76039875e-06  4.88457354e-08  4.97317496e-08  1.58788392e-09  7.35287026e-11
 5.88276349e-08  5.88276349e-08  1.01206398e-04  2.00258546e-06  5.53095942e-08  5.92684691e-08  1.88948068e-09  8.72248625e-11
 6.14881659e-08  6.14881659e-08  1.15345720e-04  2.27764108e-06  6.25879363e-08  7.06404278e-08  2.24823878e-09  1.03435439e-10
 6.42743271e-08  6.42743271e-08  1.31469138e-04  2.59012251e-06  7.07784837e-08  8.42120651e-08  2.67524586e-09  1.22623810e-10
 6.71913546e-08  6.71913546e-08  1.49847473e-04  2.94484244e-06  7.99789508e-08  1.00405476e-07  3.18324700e-09  1.45313675e-10
 7.02473375e-08  7.02473375e-08  1.70805310e-04  3.34752020e-06  9.03023212e-08  1.19739993e-07  3.78783380e-09  1.72137529e-10
 7.34488541e-08  7.34488541e-08  1.94699292e-04  3.80432521e-06  1.01862776e-07  1.42825434e-07  4.50715835e-09  2.03817411e-10
 7.68047005e-08  7.68047005e-08  2.21949437e-04  4.32243178e-06  1.14787170e-07  1.70405846e-07  5.36320338e-09  2.41212786e-10
 8.03228909e-08  8.03228909e-08  2.53024097e-04  4.90967190e-06  1.29202815e-07  2.03363262e-07  6.38177027e-09  2.85308942e-10
 8.40132829e-08  8.40132829e-08  2.88468955e-04  5.57501176e-06  1.45245141e-07  2.42769237e-07  7.59390765e-09  3.37264912e-10
 8.78855358e-08  8.78855358e-08  3.28898417e-04  6.32829383e-06  1.63046097e-07  2.89903053e-07  9.03624793e-09  3.98409045e-10
 9.19509873e-08  9.19509873e-08  3.75023818e-04  7.18064606e-06  1.82737509e-07  3.46316567e-07  1.07527007e-08  4.70286699e-10
 9.62212948e-08  9.62212948e-08  4.27651406e-04  8.14429127e-06  2.04438488e-07  4.13873325e-07  1.27952493e-08  5.54661293e-10
 1.00709818e-07  1.00709818e-07  4.87711473e-04  9.23289030e-06  2.28253342e-07  4.94835452e-07  1.52260581e-08  6.53559561e-10
 1.05430765e-07  1.05430765e-07  5.56263645e-04  1.04613896e-05  2.54255706e-07  5.91934442e-07  1.81188942e-08  7.69273615e-10
 1.10400276e-07  1.10400276e-07  6.34529043e-04  1.18462843e-05  2.82478879e-07  7.08494520e-07  2.15618633e-08  9.04397442e-10
 1.15635972e-07  1.15635972e-07  7.23904395e-04  1.34054583e-05  3.12893285e-07  8.48553624e-07  2.56597047e-08  1.06181969e-09
