 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 8.97215134e-03  8.97215134e-03  2.15738462e-09  8.02117363e-12  2.98965252e-14  6.27384245e-12  3.84441252e-14  5.00548543e-16
 9.59689498e-03  9.59689498e-03  2.63923189e-09  9.85383915e-12  3.68884008e-14  8.20090517e-12  5.08996870e-14  6.60893440e-16
 1.02650948e-02  1.02650948e-02  3.22885381e-09  1.21026568e-11  4.54929981e-14  1.07224108e-11  6.73505010e-14  8.72320571e-16
 1.09797379e-02  1.09797379e-02  3.95031159e-09  1.48614570e-11  5.60776100e-14  1.40216834e-11  8.90641438e-14  1.15096812e-15
 1.17440992e-02  1.17440992e-02  4.83312846e-09  1.82454985e-11  6.90939898e-14  1.83390227e-11  1.17710106e-13  1.51807758e-15
 1.25616136e-02  1.25616136e-02  5.91335316e-09  2.23956759e-11  8.50950818e-14  2.39885503e-11  1.55480825e-13  2.00152742e-15
 1.34360118e-02  1.34360118e-02  7.23517198e-09  2.74848605e-11  1.04760015e-13  3.13817790e-11  2.05260555e-13  2.63797371e-15
 1.43712363e-02  1.43712363e-02  8.85258257e-09  3.37245163e-11  1.28920392e-13  4.10568983e-11  2.70836491e-13  3.47552430e-15
 1.53073128e-02  1.53073128e-02  1.06962591e-08  4.08498588e-11  1.56561635e-13  5.28215083e-11  3.51049348e-13  4.49910467e-15
 1.62314468e-02  1.62314468e-02  1.27510469e-08  4.88035997e-11  1.87466754e-13  6.67449767e-11  4.46474352e-13  5.71587423e-15
 1.71356898e-02  1.71356898e-02  1.50006977e-08  5.75236141e-11  2.21397641e-13  8.28603952e-11  5.57421811e-13  7.12964724e-15
 1.80195976e-02  1.80195976e-02  1.74410041e-08  6.69940811e-11  2.58294665e-13  1.01265504e-10  6.84635495e-13  8.74978310e-15
 1.88862264e-02  1.88862264e-02  2.00771215e-08  7.72354273e-11  2.98239203e-13  1.22124706e-10  8.29317961e-13  1.05914882e-14
