 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 1.64773343e-08  1.64773343e-08  2.29821961e-06  4.92169909e-05  5.03879494e-10  3.79428053e-10  1.38169819e-11 -7.19734970e-14
 1.64849589e-08  1.64849589e-08  2.30139108e-06  9.07946728e-05  3.07706273e-09  3.79995914e-10  5.37875173e-11 -2.78775726e-13
 1.64851391e-08  1.64851391e-08  2.30146606e-06  2.74033927e-05 -3.02045448e-07  3.80011087e-10  5.41701335e-11 -2.86912668e-13
 1.64853088e-08  1.64853088e-08  2.30153665e-06 -3.32297696e-05 -6.86929929e-07  3.80027008e-10  5.40034785e-11 -2.96992500e-13
 1.64853375e-08  1.64853375e-08  2.30154860e-06 -4.35625245e-05 -8.05017329e-07  3.80029881e-10  5.39180646e-11 -2.99113182e-13
 1.64853762e-08  1.64853762e-08  2.30156470e-06 -5.74944662e-05 -1.04798911e-06  3.80033853e-10  5.37702305e-11 -3.02578092e-13
 1.64854118e-08  1.64854118e-08  2.30157953e-06 -7.03275120e-05 -1.39379329e-06  3.80037620e-10  5.35992455e-11 -3.06826992e-13
 1.64854564e-08  1.64854564e-08  2.30159805e-06 -8.63566512e-05 -2.04041797e-06  3.80042472e-10  5.33379368e-11 -3.14498419e-13
 1.64854988e-08  1.64854988e-08  2.30161572e-06 -1.01655868e-04 -2.92347902e-06  3.80047257e-10  5.30388387e-11 -3.25402101e-13
 1.64855472e-08  1.64855472e-08  2.30163586e-06 -1.19088464e-04 -4.30661889e-06  3.80052893e-10  5.26387842e-11 -3.43955335e-13
 1.64855913e-08  1.64855913e-08  2.30165421e-06 -1.34967667e-04 -5.96824472e-06  3.80058198e-10  5.22194333e-11 -3.68411911e-13
 1.64856391e-08  1.64856391e-08  2.30167406e-06 -1.52157326e-04 -8.26099873e-06  3.80064123e-10  5.17064286e-11 -4.05554916e-13
 1.64856835e-08  1.64856835e-08  2.30169254e-06 -1.68153601e-04 -1.09100815e-05  3.80069807e-10  5.11739046e-11 -4.52580264e-13
 1.64857305e-08  1.64857305e-08  2.30171210e-06 -1.85089365e-04 -1.43170703e-05  3.80076005e-10  5.05521900e-11 -5.18576626e-13
 1.64857752e-08  1.64857752e-08  2.30173070e-06 -2.01195017e-04 -1.81865943e-05  3.80082071e-10  4.99057021e-11 -5.99909428e-13
 1.64858219e-08  1.64858219e-08  2.30175010e-06 -2.17986361e-04 -2.29338724e-05  3.80088572e-10  4.91743573e-11 -7.07668316e-13
 1.64858668e-08  1.64858668e-08  2.30176881e-06 -2.34193100e-04 -2.82616019e-05  3.80095019e-10  4.84129822e-11 -8.37632625e-13
 1.64859132e-08  1.64859132e-08  2.30178810e-06 -2.50892660e-04 -3.45764531e-05  3.80101839e-10  4.75714504e-11 -1.00248553e-12
 1.64859615e-08  1.64859615e-08  2.30180819e-06 -2.68285775e-04 -4.21084780e-05  3.80109133e-10  4.66334750e-11 -1.21260152e-12
 1.64860136e-08  1.64860136e-08  2.30182986e-06 -2.87052456e-04 -5.14060174e-05  3.80117221e-10  4.55510777e-11 -1.48979915e-12
 1.64860689e-08  1.64860689e-08  2.30185286e-06 -3.06977699e-04 -6.27003457e-05  3.80126056e-10  4.43219683e-11 -1.84980080e-12
 1.64861286e-08  1.64861286e-08  2.30187767e-06 -3.28460983e-04 -7.66345954e-05  3.80135867e-10  4.29046055e-11 -2.32480950e-12
 1.64861920e-08  1.64861920e-08  2.30190406e-06 -3.51322394e-04 -9.36039658e-05  3.80146633e-10  4.12913659e-11 -2.94359726e-12
 1.64862602e-08  1.64862602e-08  2.30193242e-06 -3.75879072e-04 -1.14462983e-04  3.80158571e-10  3.94380166e-11 -3.75733184e-12
 1.64863329e-08  1.64863329e-08  2.30196263e-06 -4.02048858e-04 -1.39900752e-04  3.80171719e-10  3.73256581e-11 -4.81903599e-12
 1.64864107e-08  1.64864107e-08  2.30199502e-06 -4.30107474e-04 -1.71108739e-04  3.80186303e-10  3.49036246e-11 -6.21264489e-12
 1.64864939e-08  1.64864939e-08  2.30202957e-06 -4.60048278e-04 -2.09212676e-04  3.80202422e-10  3.21398467e-11 -8.03317587e-12
 1.64865829e-08  1.64865829e-08  2.30206659e-06 -4.92119755e-04 -2.55911687e-04  3.80220323e-10  2.89742731e-11 -1.04203826e-11
 1.64866780e-08  1.64866780e-08  2.30210612e-06 -5.26372839e-04 -3.12975503e-04  3.80240167e-10  2.53593220e-11 -1.35413694e-11
 1.64867797e-08  1.64867797e-08  2.30214843e-06 -5.63042628e-04 -3.82867234e-04  3.80262241e-10  2.12217292e-11 -1.76311521e-11
 1.64868885e-08  1.64868885e-08  2.30219365e-06 -6.02228257e-04 -4.68313551e-04  3.80286777e-10  1.64948678e-11 -2.29805157e-11
 1.64870049e-08  1.64870049e-08  2.30224203e-06 -6.44163730e-04 -5.72926666e-04  3.80314116e-10  1.10873590e-11 -2.99873300e-11
 1.64871293e-08  1.64871293e-08  2.30229374e-06 -6.88991445e-04 -7.00860008e-04  3.80344575e-10  4.90869942e-12 -3.91544628e-11
 1.64872624e-08  1.64872624e-08  2.30234906e-06 -7.36954385e-04 -8.57451272e-04  3.80378574e-10 -2.15676366e-12 -5.11583758e-11
 1.64874047e-08  1.64874047e-08  2.30240820e-06 -7.88236012e-04 -1.04898426e-03  3.80416533e-10 -1.02297745e-11 -6.68654012e-11
 1.64875569e-08  1.64875569e-08  2.30247146e-06 -8.43096789e-04 -1.28338434e-03  3.80458976e-10 -1.94580032e-11 -8.74287281e-11
 1.64877197e-08  1.64877197e-08  2.30253909e-06 -9.01761149e-04 -1.57011901e-03  3.80506454e-10 -3.00006809e-11 -1.14337333e-10
 1.64878938e-08  1.64878938e-08  2.30261143e-06 -9.64514638e-04 -1.92099116e-03  3.80559624e-10 -4.20472280e-11 -1.49560306e-10
 1.64880800e-08  1.64880800e-08  2.30268877e-06 -1.03162429e-03 -2.35022854e-03  3.80619202e-10 -5.58059004e-11 -1.95652961e-10
 1.64882792e-08  1.64882792e-08  2.30277148e-06 -1.10340796e-03 -2.87544140e-03  3.80686020e-10 -7.15200343e-11 -2.55980853e-10
 1.64884921e-08  1.64884921e-08  2.30285992e-06 -1.18017839e-03 -3.51797718e-03  3.80760997e-10 -8.94601711e-11 -3.34925111e-10
