row_type,case_id,name,time_s,v_in,v_mid,v_out,i_src,i_bias,family,cleanup_topology
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,0.0,0.0,1.07595174e-08,1.08108504e-08,1.07703613e-08,1.43460231e-10,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,3.885781571975272e-09,3.885781571975272e-09,0.965085055719579,1.0810842300650623e-08,1.0770362798698752e-08,-0.015935692268296456,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,7.771563143950544e-09,7.771563143950544e-09,0.7682633076291765,1.0810848309096761e-08,1.077034201159327e-08,-0.009510954277308428,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.1657344715925818e-08,1.1657344715925818e-08,-0.4686560755187287,1.0810830323555773e-08,1.0770331977991736e-08,0.00900228265854693,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.554312628790109e-08,1.554312628790109e-08,-1.1083338804320688,1.0810842545874182e-08,1.0770338931239436e-08,0.015431909648064223,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.9428907859876364e-08,1.9428907859876364e-08,-0.28638070892099277,1.0810844061283047e-08,1.0770370929924531e-08,0.0016519753337377585,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,2.3314689431851636e-08,2.3314689431851636e-08,0.8737092837583577,1.081087398997474e-08,1.0770344059438977e-08,-0.01481040522832268,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,2.7200471003826908e-08,2.7200471003826908e-08,0.8917912337116625,1.1039778387269673e-08,1.0770356176922496e-08,-0.011724548937418163,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,3.108625257580218e-08,3.108625257580218e-08,-0.27960310385171605,3.5253508691666045e-07,1.0770353708859076e-08,0.006534306166076512,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,3.497203414777745e-08,3.497203414777745e-08,-1.1089901328443217,0.00010659854956165389,1.0770357518695871e-08,0.015863859807657373,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,3.885781571975273e-08,3.885781571975273e-08,-0.47170549175012605,0.007684150526183254,1.077033288042222e-08,0.004478057395089165,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,4.2743597291727996e-08,4.2743597291727996e-08,0.7500024704498532,0.13211679896800424,1.0770347826853083e-08,-0.013268738813007955,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,4.662937886370327e-08,4.662937886370327e-08,0.9842275326411575,0.5865012850632243,1.0770358772021954e-08,-0.01360318605526886,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,5.051516043567854e-08,5.051516043567854e-08,-0.0828978615469414,0.9456403181890423,1.0770318658785889e-08,0.0038346116374110405,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,5.4400942007653816e-08,5.4400942007653816e-08,-1.0728339689109607,-1.133942721688344,1.0770331676451493e-08,0.015806694825272624,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,5.8286723579629085e-08,5.8286723579629085e-08,-0.6423501800015503,-0.5158204271410152,1.077036977523735e-08,0.007154557976161817,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,6.217250515160435e-08,6.217250515160435e-08,0.6027157963244233,-0.03839735423650675,1.07825527534875e-08,-0.011297095923017912,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,6.605828672357963e-08,6.605828672357963e-08,1.0450365478557742,0.5567567248985396,1.4568806398901035e-08,-0.015048533199205355,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,6.99440682955549e-08,6.99440682955549e-08,0.1151770686058796,0.9372520968397351,5.840552385650096e-07,0.0009970064695882664,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,7.382984986753018e-08,7.382984986753018e-08,-1.001828903304218,-0.5610755613386019,4.152872639920451e-05,0.015249845443438572,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,7.771563143950546e-08,7.771563143950546e-08,-0.7931038199657139,-0.6111335083059258,0.0014353633533702292,0.009586240971464008,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,8.160141301148072e-08,8.160141301148072e-08,0.43617496639571673,-0.19435770519847684,0.022621832953992078,-0.008968500104423273,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,8.548719458345599e-08,8.548719458345599e-08,1.072507128100138,0.47115029902565153,0.15451023686030801,-0.01600449923440521,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,8.937297615543127e-08,8.937297615543127e-08,0.308356939324138,0.9210652522832732,0.48218398005057084,-0.0018885517839265392,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,9.325875772740654e-08,9.325875772740654e-08,-0.8981289542248199,-0.045498829510695345,0.7896273216052853,0.014213946242132016,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,9.714453929938182e-08,9.714453929938182e-08,-0.9189962655288435,-0.8040365908575525,-1.2530902365590553,0.01170124383645987,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.0103032087135708e-07,1.0103032087135708e-07,0.25440371388837335,-0.3324346585963599,0.06500194119074297,-0.00635967619821939,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.0491610244333236e-07,1.0491610244333236e-07,1.0662083825085724,0.394352554997872,-0.274282462136889,-0.016437731856344076,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.0880188401530763e-07,1.0880188401530763e-07,0.49041448568,0.8863416854859166,0.6213308478262012,-0.004731054285509306,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.1268766558728291e-07,1.1268766558728291e-07,-0.7647836924123094,0.3637436071305252,0.7426531549342305,0.012716791029141174,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.1657344715925817e-07,1.1657344715925817e-07,-1.0160645086126443,-1.1336248994758278,-0.643909771352841,0.01343804074594456,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.2045922873123345e-07,1.2045922873123345e-07,0.06342023700162777,-0.46627182040510573,-0.23971393898587812,-0.0035612101674012205,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.243450103032087e-07,1.243450103032087e-07,1.0262038214911402,0.3259315701145724,-0.2757230271171431,-0.016324340902783344,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.28230791875184e-07,1.28230791875184e-07,0.6552678871345571,0.8437704419326106,0.5440272303325744,-0.007437402263535423,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.3211657344715926e-07,1.3211657344715926e-07,-0.6070664822133165,0.6688874423433082,0.7277793347026276,0.01082039386253838,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.3600235501913455e-07,1.3600235501913455e-07,-1.0807034282387158,-1.385323436954453,-0.0677036327397437,0.014745865950077899,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.398881365911098e-07,1.398881365911098e-07,-0.13059881032480725,-0.4620188917659471,-0.7173312878322172,-0.000664208029848078,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.4377391816308507e-07,1.4377391816308507e-07,0.9548016102456206,0.03209201785724128,-0.1963246945616453,-0.01568151726796689,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.4765969973506036e-07,1.4765969973506036e-07,0.7981245176585782,0.9090602655454147,0.43916652201759626,-0.009922322723643136,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.5154548130703562e-07,1.5154548130703562e-07,-0.4300077652786672,0.6912072037619261,0.7039206648612122,0.00857646358774931,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.554312628790109e-07,1.554312628790109e-07,-1.1098123336201153,-1.4535435575984206,0.36083607917114097,0.015582749743572584,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.5931704445098617e-07,1.5931704445098617e-07,-0.32193284114750326,-0.44049748200072064,-1.2731504807264513,0.0022355827215294524,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.6320282602296144e-07,1.6320282602296144e-07,0.8531743393455268,-0.03409789952518548,-0.04961133442490101,-0.014524356384328137,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.6708860759493672e-07,1.6708860759493672e-07,0.91436648243964,0.7941482968432223,0.28044605327062033,-0.01210450692605939,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.7097438916691199e-07,1.7097438916691199e-07,-0.2348149705766277,0.7743879029991744,0.6964971930171483,0.006109952922146613,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.7486017073888727e-07,1.7486017073888727e-07,-1.0711889442291402,-1.2784596053813027,0.6058098864702699,0.01634793624695065,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.7874595231086254e-07,1.7874595231086254e-07,-0.42246852096248916,-0.42684571411083183,-1.7588911677064125,0.0061368619214572364,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.826317338828378e-07,1.826317338828378e-07,0.7772627251339147,-0.10611459007042047,0.1044783052094024,-0.01218980578505052,varactor_loaded_nltl,none
spice_electrical_412_race_timeseries,e001,e001_varactor_loaded_nltl_80c_75ohm_none,1.865175154548131e-07,1.865175154548131e-07,0.8393425119180788,0.6493288897008281,0.09166047952257518,-0.016044468520665617,varactor_loaded_nltl,none
