row_type,circuit,case_id,nonlinear_variant,time_s,v_source,v_generated,v_target,i_source,i_generated,i_target,scale_preset,phase_error_target,unwrapped_phase_error_target,generated_envelope,target_envelope
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,42.2564867,-0.282059695,-0.0382513263,0.0671761368,0.383057082,-0.254267079,-0.0429311648,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,43.9141405,-0.243409036,-0.0274730613,0.0398476984,-0.41870605,0.189182137,-0.146331561,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,45.6635022,0.432439364,0.103090002,0.0346143666,-0.0885479604,0.0422552085,-0.113066634,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,47.4393263,-0.115402042,-0.128453074,0.0176117944,0.493873643,-0.0970315249,-0.260949125,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,49.2280398,-0.338043023,0.0227502807,-0.00466852502,-0.3366626,0.201320995,-0.20673039,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,50.8126594,0.348112857,0.0389574031,-0.0371035234,-0.301149249,-0.116591248,-0.107764322,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,52.5256803,0.134389119,-0.12113669,-0.0739105968,0.501669251,0.245310056,-0.0977750925,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,54.3540397,-0.440586394,0.096405647,-0.0648911702,-0.122996217,0.0675754773,-0.0159370334,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,56.1038971,0.254385794,-0.0167927625,-0.0506033513,-0.411261727,-0.135251272,0.0328361106,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,57.6283042,0.342531284,0.00515005484,-0.0298663574,0.36888017,0.405761107,0.234971805,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,59.0921588,-0.353594491,0.00495328261,0.0688579599,0.330241478,-0.282811268,0.0890948976,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,60.5017522,-0.286953931,-0.0112890614,0.0285523927,-0.404835286,0.212868489,-0.193570129,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,62.1961333,0.423314522,0.0894281035,0.0110361099,-0.170644387,-0.0294321202,-0.15829084,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,63.9296631,-0.0196608886,-0.152242257,-0.02528715,0.527898856,0.0387209557,-0.277624272,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,65.5241365,-0.440203321,0.0922377283,-0.0644365384,-0.152968938,0.0956080864,-0.0567413046,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,67.2886697,0.284632578,-0.00364465141,-0.0530306839,-0.392206189,-0.140716087,-0.00790947878,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,68.9240882,0.27372215,-0.0503113281,-0.0671279954,0.441650416,0.388643353,0.138537466,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,70.5140612,-0.434945013,0.0813114321,0.00849181245,0.174759218,-0.21153716,0.24112014,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,72.1774944,-0.0278435259,-0.0805408059,0.0368960437,-0.51759082,0.0471146163,0.132296281,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,73.894511,0.449109634,0.103613059,0.0561284722,0.165863422,0.29736221,0.171705546,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,75.6895475,-0.332536104,-0.0158203561,0.0761349608,0.368072545,-0.28758719,0.028668767,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,77.0552112,-0.334186837,0.0151141621,0.00396942825,-0.363399933,0.217705903,-0.223526166,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,78.4597792,0.308977063,0.00885235918,-0.0521559693,-0.370097787,-0.140227119,-0.0428559743,,,,,
